ax,ay,az,gx,gy,gz
-15790,-260,4652,24,-32,12
-15832,-240,4626,30,-62,10
-15904,-312,4652,44,-48,-8
-15880,-330,4614,62,-10,12
-15808,-362,4610,50,-20,14
-15742,-322,4618,58,-24,12
-15742,-310,4644,40,-70,-12
-15776,-320,4634,22,-96,-22
-15806,-348,4628,0,-104,-28
-15898,-332,4630,-20,-120,-20
-15830,-322,4540,-18,-126,-4
-15790,-300,4610,-36,-62,8
-15784,-380,4782,-36,-78,12
-15810,-424,4742,-32,-150,-4
-15868,-380,4598,-44,-142,-16
-15830,-322,4532,-50,-90,28
-15822,-352,4598,-60,-32,26
-15810,-392,4718,-38,-44,18
-15842,-352,4748,-52,-98,0
-15874,-318,4648,-74,-86,12
-15878,-286,4646,-66,-36,18
-15824,-310,4692,-54,48,32
-15734,-342,4756,-36,44,32
-15690,-312,4718,-44,-24,22
-15742,-326,4738,-18,-118,12
-15818,-302,4670,-38,-180,14
-15876,-296,4648,-18,-106,18
-15832,-326,4674,-18,-32,14
-15804,-326,4700,-30,-82,26
-15798,-336,4686,-46,-78,18
-15814,-322,4694,-50,-44,36
-15788,-364,4662,-42,-64,22
-15742,-328,4634,-48,-116,6
-15744,-314,4656,-26,-138,18
-15768,-320,4688,-4,-190,20
-15882,-300,4660,10,-188,24
-15908,-350,4668,-2,-144,28
-15858,-380,4668,4,-18,52
-15780,-410,4632,-22,54,70
-15742,-368,4726,-18,12,52
-15760,-328,4604,-36,-84,14
-15818,-316,4624,-44,-20,-10
-15858,-324,4768,-52,2,16
-15830,-316,4780,-66,-22,56
-15834,-310,4710,-60,-4,70
-15764,-332,4710,-54,28,58
-15756,-368,4762,-40,48,62
-15744,-330,4740,-28,60,64
-15776,-328,4746,-22,44,68
-15800,-328,4720,-54,-2,40
