ax,ay,az,gx,gy,gz
-12654,6550,-8098,40,-42,-4
-12698,6540,-8116,24,-34,-22
-12704,6526,-8086,20,-62,-12
-12764,6520,-8126,6,-50,-8
-12770,6504,-8066,22,-30,0
-12772,6484,-8066,42,-12,-20
-12754,6480,-8048,52,6,-16
-12724,6504,-8064,42,16,2
-12682,6492,-8122,46,-32,0
-12718,6480,-8108,20,-60,-8
-12654,6488,-8128,10,-24,32
-12708,6452,-8128,6,4,28
-12790,6492,-8132,8,-26,32
-12820,6484,-8104,20,-18,24
-12760,6502,-8102,44,-6,34
-12716,6514,-8076,20,-18,12
-12728,6554,-8072,18,-30,2
-12700,6534,-8070,2,-4,8
-12662,6530,-8084,-4,8,24
-12688,6532,-8110,20,-12,20
-12752,6552,-8112,46,-14,6
-12730,6506,-8114,54,-2,4
-12750,6448,-8106,26,-20,6
-12714,6508,-8106,18,-32,12
-12706,6544,-8124,22,-36,4
-12676,6540,-8148,30,-22,8
-12662,6476,-8114,34,-18,6
-12664,6466,-8120,22,-44,-12
-12732,6490,-8100,4,-32,-4
-12776,6504,-8108,4,-12,0
-12762,6462,-8116,24,-14,24
-12738,6554,-8090,0,-34,28
-12752,6558,-8068,10,-16,12
-12720,6542,-8088,30,-16,-14
-12708,6526,-8084,36,-20,-2
-12696,6520,-8044,38,-10,2
-12662,6516,-8092,44,2,24
-12702,6496,-8170,38,-22,34
-12760,6532,-8160,50,-74,10
-12716,6516,-8094,42,-60,20
-12710,6502,-8124,36,-72,16
-12684,6512,-8094,12,-100,-4
-12732,6484,-8072,8,-64,0
-12728,6478,-8048,14,-20,6
-12716,6474,-8094,20,-32,12
-12752,6466,-8092,18,-44,10
-12782,6504,-8056,14,-52,10
-12786,6484,-8050,16,-40,24
-12738,6502,-8050,22,-10,36
-12700,6514,-8032,42,14,18
