ax,ay,az,gx,gy,gz
-7546,406,-14630,220,130,346
-7450,428,-14604,96,84,254
-7354,864,-14640,-124,154,24
-7400,870,-14498,-50,338,-78
-7406,928,-14396,10,530,74
-7336,736,-14418,162,294,196
-7362,856,-14624,-4,176,206
-7470,890,-14704,-98,142,306
-7356,1078,-14592,-232,328,258
-7372,990,-14574,174,280,206
-7304,790,-14852,-32,380,248
-7344,640,-14704,-178,254,278
-7292,496,-14846,-576,260,284
-7364,556,-14730,-1048,328,356
-7562,608,-14652,-1572,194,772
-7520,690,-14746,-1870,206,1304
-6924,1662,-14412,-2360,1070,1446
-7060,1604,-14202,-1616,920,1032
-7190,1540,-14546,-820,348,790
-7274,1402,-14932,-1046,330,1030
-7314,1250,-14960,-1246,360,1364
-6736,2068,-14654,-1882,1030,1268
-6990,2034,-14548,-1754,972,998
-6942,1906,-14366,-816,502,654
-7026,1716,-14702,-488,138,484
-7022,1770,-14708,-774,288,664
-7034,1996,-14592,-830,172,748
-6854,2174,-14580,-604,224,618
-7006,2138,-14658,-44,18,354
-6974,1884,-14768,-56,-10,366
-7026,1694,-14876,-268,144,462
-6862,1828,-14806,-592,402,600
-6840,2020,-14828,-398,380,392
-6950,1868,-14900,46,148,210
-7030,1884,-15198,316,38,216
-7004,2158,-15028,-266,252,328
-7042,2144,-14876,-312,-152,358
-6982,2282,-15026,44,-268,56
-7042,2404,-15238,1494,-676,-626
-7096,2356,-15090,2664,-1078,-1334
-7118,2230,-15028,3258,-1604,-1622
-6990,1792,-14916,3236,-2008,-1562
-6988,966,-14584,3614,-2298,-1844
-7110,446,-14568,5348,-2462,-1860
-7114,-222,-14386,6178,-2064,-2078
-7318,-334,-15534,7070,-1588,-3200
-7896,92,-16154,6728,-1306,-3394
-7246,-1794,-15718,9700,-2426,-4186
-7558,-2902,-14408,13546,-2794,-5218
-7912,-2884,-14108,14460,-1738,-5274
