ax,ay,az,gx,gy,gz
-15782,-484,1998,-78,-774,-1176
-16160,-340,1854,-74,-1002,-1138
-16554,-452,1684,6,-808,-962
-16846,-406,1532,238,-402,-1084
-16696,-478,1610,222,160,-756
-16266,-496,1654,222,314,-618
-15850,-700,1742,380,228,-478
-15706,-308,1762,444,190,-452
-15858,160,1910,664,58,22
-16052,310,1498,1006,-202,316
-16136,196,1510,1262,-50,866
-16046,296,1778,1798,84,1020
-15874,192,2136,2278,10,1124
-16138,946,2406,3130,-230,746
-16396,788,2330,3576,-538,1120
-16756,60,1840,4008,-512,1180
-16986,-556,1894,4210,-184,922
-16848,-110,2054,3992,356,924
-16594,-116,2390,4256,370,622
-16454,-374,2534,4238,246,642
-16594,-318,2356,4176,330,546
-16614,-824,2398,4156,434,268
-16560,-734,2418,3880,488,2
-16650,-680,2354,3630,424,-84
-16776,-702,2362,3380,428,-44
-16658,-646,2420,3394,564,-180
-16554,-338,2372,3342,764,-196
-16548,-406,2454,3312,824,-228
-16622,-572,2294,3254,880,-238
-16726,-828,2228,3090,1020,-222
-16556,-1022,2206,2804,1184,-250
-16280,-1078,2284,2594,1162,-404
-16082,-1122,2562,2128,946,-576
-16142,-1136,2558,1586,778,-692
-16450,-900,2116,930,674,-712
-16504,-832,2036,570,742,-650
-16116,-514,2226,300,732,-582
-15638,-154,2694,380,208,-860
-15646,-128,2646,302,-208,-990
-16164,22,1896,238,-550,-892
-16928,112,1336,376,-308,-710
-17046,-84,1288,750,524,-714
-16676,128,1232,1082,716,-778
-16510,630,1196,1450,532,-672
-16440,500,1308,1870,394,-586
-16184,2,1596,1862,494,-620
-15696,-302,1516,1874,436,-594
-15724,-594,1562,1886,300,-458
-15932,-920,1572,1658,200,-198
-16162,-1130,1438,1448,166,-116
