ax,ay,az,gx,gy,gz
-864,-15650,-4268,-454,-180,686
-1084,-15620,-4604,-164,-430,370
-1008,-16040,-4786,108,-234,292
-904,-16036,-4700,64,-108,244
-724,-15698,-4450,-6,-92,106
-668,-15644,-4646,256,-226,-28
-666,-15654,-4770,392,-118,-112
-714,-15598,-4658,498,-42,-192
-694,-15222,-4702,810,-52,-200
-668,-15140,-4734,988,-6,-12
-434,-15440,-4462,1076,-40,246
-670,-15542,-4332,1162,-72,316
-840,-15592,-4462,1264,-80,316
-408,-15984,-4208,1420,-106,48
-94,-16114,-3760,1282,-282,-136
-432,-16072,-3810,1284,-670,-304
-1048,-15910,-4222,1370,-464,-296
-1052,-15778,-3884,1352,-98,-174
-788,-15866,-3522,1180,-232,138
-810,-16056,-3658,1208,-304,192
-748,-16096,-3766,1216,-126,74
-656,-16236,-3648,1110,-78,-6
-712,-16224,-3478,1136,-246,-140
-652,-16310,-3312,1020,-236,-174
-576,-16152,-3370,878,-180,-98
-666,-16116,-3378,698,-224,-26
-836,-16010,-3298,550,-248,56
-920,-16160,-3246,442,-114,74
-742,-16220,-3222,192,-60,84
-664,-16310,-3166,122,-212,24
-792,-16428,-3312,-4,-172,0
-858,-16208,-3300,-96,4,22
-746,-16118,-3206,-264,-4,78
-754,-16156,-3288,-334,-72,132
-856,-16028,-3514,-330,28,92
-798,-16018,-3602,-358,132,66
-694,-15988,-3476,-354,96,52
-638,-15970,-3440,-350,-36,44
-698,-15976,-3458,-476,-102,-4
-714,-15998,-3526,-462,-158,10
-728,-15804,-3724,-370,-156,36
-704,-15520,-3970,-146,-156,84
-568,-16062,-3566,-170,-194,110
-644,-16188,-3548,-90,-242,38
-1068,-15880,-3898,108,-170,-132
-1108,-15798,-3838,198,26,-94
-822,-15766,-3638,178,48,-42
-692,-15782,-3658,176,-50,-10
-834,-15770,-3718,216,-60,16
-820,-15786,-3632,348,52,134
