ax,ay,az,gx,gy,gz
-15604,-802,5712,522,96,-54
-15494,-892,5664,550,180,-54
-15368,-954,5676,570,172,-22
-15264,-980,5650,564,92,-32
-15352,-1008,5664,486,-32,-98
-15504,-1040,5618,386,-148,-112
-15584,-1058,5550,260,-150,-108
-15618,-1064,5516,166,-102,-42
-15568,-1064,5556,32,-50,14
-15560,-1000,5600,-64,-40,26
-15532,-890,5522,-82,10,42
-15388,-800,5414,-116,30,68
-15400,-770,5392,-108,-18,36
-15442,-776,5490,-76,-148,-24
-15584,-778,5512,-84,-194,-66
-15718,-746,5516,-84,-148,-16
-15714,-722,5524,-60,-12,4
-15638,-756,5550,-52,126,48
-15456,-772,5558,-10,200,80
-15332,-810,5560,24,156,74
-15372,-734,5492,40,6,24
-15448,-704,5474,52,-70,-48
-15594,-684,5526,96,-114,-82
-15682,-688,5526,132,-72,-74
-15686,-700,5534,128,12,-36
-15636,-834,5576,114,100,66
-15508,-868,5526,70,202,124
-15352,-918,5534,8,242,142
-15366,-938,5534,-80,142,134
-15448,-954,5542,-122,76,130
-15598,-984,5490,-198,18,126
-15658,-932,5548,-258,64,140
-15650,-988,5600,-292,204,172
-15526,-1004,5638,-276,298,146
-15358,-808,5682,-232,324,84
-15242,-724,5644,-198,248,50
-15290,-788,5570,-190,98,22
-15444,-838,5528,-160,-102,-10
-15600,-820,5510,-164,-148,-26
-15644,-748,5554,-162,-98,8
-15554,-760,5538,-162,-96,32
-15442,-842,5530,-194,-128,46
-15452,-938,5420,-270,-192,62
-15490,-876,5394,-300,-162,72
-15572,-810,5398,-322,-146,76
-15634,-750,5390,-332,-180,74
-15650,-720,5446,-294,-140,70
-15670,-710,5422,-258,-108,88
-15654,-726,5390,-208,-96,104
-15602,-692,5368,-178,-16,106
