ax,ay,az,gx,gy,gz
-16576,180,2622,-1130,-100,2
-16666,126,2334,-1028,126,250
-16136,-342,2466,-1068,254,290
-16192,-388,2108,-976,110,122
-16554,30,2040,-828,442,-18
-16470,264,2198,-536,532,82
-16482,274,2082,-364,382,206
-16352,70,1888,-126,284,350
-16228,-58,1868,54,202,364
-16106,78,1960,184,142,282
-16078,36,2062,308,106,162
-16130,74,1980,486,54,68
-16234,278,2054,646,74,-38
-16286,548,2220,824,84,-154
-16186,570,2186,1102,82,-256
-15956,304,2102,1294,-46,-300
-16182,-58,2228,1380,-392,-380
-16606,-176,2368,1344,-402,-328
-16764,-268,2332,1270,-212,-114
-16608,-394,2510,1186,124,-2
-16410,-374,2628,1034,254,-48
-16260,-112,2612,884,202,-88
-16214,128,2650,788,130,-48
-16072,194,2574,810,-38,-24
-16122,12,2508,744,-138,-36
-16098,-250,2462,652,-246,-74
-16312,-460,2468,608,-264,-138
-16482,-424,2448,494,-250,-120
-16566,-324,2376,392,-140,30
-16436,-296,2488,322,-30,124
-16322,-306,2554,198,-22,210
-16216,-294,2484,28,-62,226
-16066,-350,2276,-142,-60,220
-15868,-414,2210,-472,-66,88
-16026,-516,2360,-684,-294,-136
-16546,-426,2380,-1022,-556,-222
-16862,-84,2256,-1042,-586,56
-16838,106,2130,-1048,-296,338
-16488,200,2478,-834,170,474
-16086,166,2772,-484,308,396
-15868,50,2482,-160,228,208
-16018,-90,2280,-76,224,98
-16270,-160,2316,-92,194,-16
-16388,-126,2448,-114,76,-54
-16426,-38,2432,-204,-22,8
-16344,146,2376,-140,2,40
-16324,328,2484,0,32,0
-16488,494,2494,290,14,-16
-16556,756,2368,670,188,18
-16468,1018,2390,1186,442,38
