ax,ay,az,gx,gy,gz
-16590,308,3220,596,-860,-620
-16600,502,3084,586,-326,-504
-16364,18,3220,528,-10,-270
-16120,-102,3382,252,90,-330
-15812,54,3518,80,108,-378
-15762,362,3654,-102,-128,-290
-16008,412,3516,-156,-308,-160
-16148,468,3320,-202,-238,-40
-16162,270,3306,-234,-114,-12
-16176,148,3424,-356,-102,-40
-16218,174,3368,-410,-148,-42
-16180,290,3314,-432,-88,-18
-15998,224,3402,-448,12,20
-15954,272,3566,-486,-114,4
-16144,296,3438,-502,-240,-32
-16246,320,3354,-502,-184,-54
-16240,168,3484,-476,-20,-30
-16116,38,3488,-478,-48,-128
-16088,294,3428,-544,-156,-48
-16086,204,3388,-492,-38,46
-16034,146,3536,-528,10,78
-16022,156,3646,-552,-74,154
-16058,82,3622,-660,-138,218
-16104,-176,3538,-678,-142,264
-16028,-116,3554,-832,-62,234
-16110,-170,3598,-964,-196,116
-16368,4,3394,-1028,-152,32
-16474,30,3324,-1060,86,50
-16196,-124,3284,-1070,342,130
-16088,-202,3450,-1164,296,68
-16132,-130,3598,-1292,192,-68
-16378,-214,3696,-1432,168,-102
-16458,-344,3656,-1574,276,-74
-16352,-658,3710,-1724,486,-212
-16186,-618,3850,-1878,584,-368
-15988,-574,3976,-2122,358,-500
-15964,-890,3812,-2376,242,-532
-16036,-1104,3656,-2640,242,-648
-16232,-600,3686,-2832,146,-744
-16240,-406,3612,-2874,194,-614
-15922,-444,3736,-2896,784,-758
-15846,-210,3876,-2490,558,-592
-15966,-808,3326,-2194,12,-468
-15762,-276,3296,-2364,524,-350
-15386,-406,3276,-2242,316,-270
-15360,-222,3110,-2118,-422,-12
-15654,-2,2724,-1942,-702,376
-15946,-152,2494,-1562,-372,922
-16078,-348,2530,-1330,-372,1294
-16066,212,2066,-1098,-480,1604
