ax,ay,az,gx,gy,gz
-9460,-13490,-724,-26,154,38
-9386,-13474,-566,-10,186,4
-9318,-13434,-628,2,26,-12
-9428,-13460,-738,-80,94,26
-9364,-13442,-666,-42,86,40
-9388,-13376,-736,6,-12,12
-9348,-13362,-764,8,28,-24
-9376,-13404,-654,40,46,-14
-9428,-13512,-636,28,32,-28
-9380,-13498,-618,14,32,-14
-9368,-13498,-586,-52,56,32
-9386,-13414,-630,-62,2,32
-9484,-13326,-774,-88,48,28
-9324,-13418,-722,-64,94,26
-9314,-13554,-696,-22,0,34
-9340,-13468,-630,48,-38,34
-9464,-13374,-744,12,-12,34
-9468,-13532,-798,-18,-24,12
-9536,-13516,-792,28,0,-10
-9420,-13400,-696,40,70,-24
-9266,-13308,-584,60,62,10
-9404,-13434,-726,54,-100,46
-9494,-13452,-814,32,14,48
-9396,-13496,-744,68,28,16
-9404,-13458,-670,128,-2,-14
-9462,-13294,-872,112,-62,-42
-9406,-13406,-864,156,74,8
-9282,-13592,-552,182,64,-4
-9278,-13432,-566,192,-162,-38
-9508,-13292,-888,150,-106,-22
-9426,-13524,-594,118,58,-6
-9256,-13658,-450,124,-112,-36
-9352,-13418,-696,84,-146,-38
-9342,-13402,-668,84,-84,26
-9274,-13500,-548,86,-204,0
-9438,-13530,-654,46,-256,-38
-9470,-13556,-632,64,-152,-34
-9336,-13582,-538,-12,-130,-8
-9318,-13580,-478,-90,-176,30
-9440,-13572,-596,-152,-208,36
-9500,-13496,-672,-196,-120,40
-9450,-13404,-692,-264,-26,44
-9314,-13500,-504,-278,4,52
-9364,-13536,-622,-302,-90,88
-9464,-13330,-676,-286,-16,110
-9370,-13382,-578,-288,48,112
-9418,-13556,-646,-312,-20,88
-9642,-13404,-790,-356,158,120
-9504,-13402,-702,-402,294,172
-9334,-13488,-616,-446,200,160
