ax,ay,az,gx,gy,gz
-902,-15968,-3824,178,76,4
-866,-15906,-3836,164,76,14
-862,-15870,-3822,146,44,22
-836,-15838,-3766,146,-24,34
-824,-15912,-3784,182,-94,14
-910,-15948,-3794,160,-116,28
-940,-15982,-3788,150,-106,-6
-976,-15984,-3752,114,-92,-18
-972,-15924,-3762,84,-60,-22
-918,-15928,-3776,72,-6,2
-882,-15920,-3768,22,54,14
-884,-15968,-3780,64,0,30
-922,-15930,-3788,46,-12,24
-928,-15846,-3788,36,6,26
-852,-15906,-3770,10,18,40
-790,-15948,-3750,16,18,62
-780,-15980,-3766,58,-18,48
-888,-15924,-3806,90,-80,26
-972,-15904,-3802,100,-64,10
-1042,-15948,-3754,44,-34,22
-970,-15978,-3706,-4,4,18
-892,-15968,-3740,-36,-6,20
-898,-15950,-3806,-54,-2,34
-986,-15904,-3852,-28,-4,26
-1010,-15884,-3838,-22,26,-6
-880,-15878,-3810,-24,48,-16
-746,-15896,-3814,10,34,-26
-686,-15880,-3790,48,-38,0
-806,-15930,-3788,42,-68,16
-956,-15968,-3712,14,-70,42
-978,-15984,-3730,-6,-50,46
-986,-15922,-3802,-48,-26,36
-986,-15942,-3770,-88,-20,20
-928,-15928,-3764,-72,-42,-6
-936,-15946,-3782,-80,-60,-18
-948,-15882,-3810,-88,-50,-10
-912,-15872,-3836,-88,-14,-14
-866,-15868,-3804,-92,-28,-22
-810,-15860,-3876,-34,-34,-2
-846,-15880,-3886,-6,-36,16
-886,-15866,-3852,56,-74,18
-926,-15880,-3816,94,-84,0
-956,-15906,-3806,58,-66,10
-996,-15962,-3806,20,-24,30
-976,-15992,-3748,-10,-18,16
-992,-15976,-3762,-46,2,18
-920,-15912,-3814,-72,22,10
-886,-15916,-3820,-82,-6,-8
-882,-15950,-3826,-90,-24,22
-884,-15928,-3822,-90,-38,14
