ax,ay,az,gx,gy,gz
-14832,2400,3274,5302,-5214,-3628
-15194,3434,2844,6996,-6626,-3868
-16038,2160,2942,8094,-6898,-3436
-16796,1398,2408,8008,-6570,-3060
-17078,1332,1574,7602,-5604,-2670
-16842,1668,2546,6536,-4598,-2100
-16778,1570,2780,4010,-3364,-1022
-17602,-48,2344,2360,-1664,-720
-17846,-3154,2234,752,1516,-1378
-15398,-4874,6008,2506,6814,-3842
-14756,3974,9728,3626,3422,-5814
-16184,5216,4782,7504,-9228,-630
-17620,1964,1300,6926,-3946,354
-15280,-3246,2904,5872,2438,-1744
-12886,-3536,8256,5872,3270,-3036
-13172,-3510,9598,5076,-772,-4104
-16664,-3684,3230,2154,-5662,-1180
-19432,-6776,-806,-62,-3952,786
-20104,-6754,-1136,-3310,920,978
-16430,-4306,1036,-3562,3570,32
-14660,-2114,4322,-3658,2938,-1556
-15930,18,5304,-2512,-228,-1880
-16942,950,3744,-440,-750,-2430
-17340,-1138,2754,512,2222,-1258
-16134,-3172,4186,600,2704,-1002
-13998,-4854,4422,724,202,-1676
-14654,-4332,3680,304,-2284,-1594
-15554,-4002,2414,76,-2290,-1318
-15748,-4430,2616,66,-694,-928
-15502,-4650,3548,46,194,-594
-15286,-4412,3800,-194,0,-308
-15310,-4176,3442,-204,-304,224
-15382,-4166,3152,206,-44,432
-15264,-4056,3322,190,118,842
-14776,-3844,2674,842,-762,790
-14922,-3424,2354,1446,-712,682
-15240,-3480,2166,1968,64,828
-14942,-3508,2136,2896,1050,1286
-14448,-3736,2516,3756,1378,1678
-14034,-3440,3978,5114,764,1624
-14432,-3250,3860,6178,-936,1032
-15868,-3564,3160,7026,-1816,224
-18068,-3904,4626,7172,-726,-730
-18238,-3222,6266,6882,-376,-1690
-17738,-1712,6224,6506,-852,-3456
-17118,858,4768,6190,-650,-3778
-17398,2980,5754,5810,718,-2948
-18052,3534,7726,6064,-24,-2680
-18366,4068,7982,5510,-1454,-2038
-17104,5422,6060,5914,-2766,-440
