ax,ay,az,gx,gy,gz
-10348,11342,5992,892,356,-490
-10208,11418,6074,1022,290,-716
-10310,11566,6092,510,-142,-260
-10192,11144,6110,330,-462,98
-10160,11054,5996,778,-404,-170
-10130,11080,5802,1790,4,-728
-9452,11866,5640,1642,1346,-484
-10150,11688,6056,1262,1256,-278
-10120,12442,5952,26,132,-202
-10018,12002,6322,-486,438,972
-9612,11298,6448,-82,1480,990
-9654,11116,6248,646,1640,-200
-9830,11174,5994,1248,1500,-1196
-10212,11078,5638,1716,1678,-1952
-10260,10956,5526,1968,2086,-2086
-10486,10956,5334,2352,2400,-2188
-10556,10816,5176,2874,2420,-2474
-10772,11238,4798,3430,2688,-3442
-11924,12010,4508,2562,1862,-3570
-11856,11878,4396,1782,1366,-2696
-11028,10820,4522,2604,2102,-2878
-10822,10034,4830,4338,2424,-4826
-10782,10352,4116,6026,4252,-7014
-11400,10410,3952,6092,4706,-7850
-11892,10026,3276,6536,4858,-8486
-13228,9758,2714,6518,3728,-8378
-14158,10588,2166,5332,1702,-6170
-13400,11286,2234,2878,1616,-3246
-12704,9968,2604,2184,2696,-2380
-13502,9956,2630,2768,2360,-3912
-14020,10872,2612,2404,600,-5396
-14364,10456,2206,1234,810,-3736
-13794,10402,2058,-78,114,-3264
-13734,9928,2104,-1448,-180,-2262
-13214,8766,2180,-2100,368,-304
-12600,7232,2250,-780,1010,-176
-13140,7720,1780,838,786,-1852
-13826,8684,1490,736,448,-1680
-13978,8912,1638,106,134,-516
-13952,9198,2138,-358,-228,94
-13792,9066,2400,-238,-14,-364
-13910,8254,2220,1352,710,-2416
-14194,8716,1922,1780,846,-4006
-14476,8810,1724,1336,492,-4708
-14222,8346,1828,932,994,-5014
-14318,8414,1846,450,1380,-4888
-13914,7914,1918,358,2174,-3610
-14198,7700,1992,484,1652,-4152
-13916,7908,1548,506,1334,-3854
-14450,7662,1348,386,1546,-2620
