ax,ay,az,gx,gy,gz
-856,-16026,-3138,-124,128,-68
-670,-16106,-3128,-128,-70,-74
-814,-16114,-3228,-6,-158,-8
-922,-16072,-3128,12,-68,76
-866,-16210,-3102,-110,-14,118
-792,-16274,-3066,-202,62,94
-746,-16134,-3082,-196,-64,42
-912,-16020,-3264,-182,-138,48
-1046,-16052,-3270,-236,-64,78
-1076,-16038,-3166,-226,-56,108
-1070,-16028,-3224,-222,-174,86
-1172,-16114,-3290,-240,-200,22
-1250,-15966,-3364,-276,-68,-10
-1106,-15972,-3252,-306,18,14
-1032,-16068,-3256,-332,-100,-12
-990,-15936,-3392,-274,-114,-64
-790,-16098,-3254,-208,-222,-156
-770,-16020,-3270,-280,-460,-182
-1026,-15924,-3680,-104,-472,-232
-1150,-15764,-3680,80,-110,-166
-1064,-15736,-3512,76,126,-22
-1000,-15918,-3404,112,70,2
-960,-16054,-3408,190,-88,-84
-926,-16084,-3380,180,20,-142
-850,-16184,-3244,160,54,-158
-844,-16136,-3180,118,-14,-120
-938,-16094,-3164,68,-38,-40
-914,-16128,-3264,-10,4,2
-910,-16194,-3260,-28,54,6
-958,-16138,-3200,-40,78,20
-942,-16080,-3228,-108,36,18
-878,-16028,-3318,-170,6,18
-902,-16076,-3304,-196,-20,-4
-886,-15972,-3410,-132,-26,-22
-864,-15766,-3538,-60,-70,-58
-770,-15832,-3504,32,-120,-32
-854,-15994,-3380,82,-158,8
-944,-15874,-3466,86,-182,-34
-954,-15812,-3572,292,-164,-42
-1100,-16110,-3302,190,-68,-114
-1120,-15920,-3276,-106,-126,-352
-918,-16088,-3428,-74,-8,-310
-722,-16290,-3298,20,252,-50
-784,-16184,-3224,326,298,272
-1004,-16222,-3218,420,340,420
-1072,-16140,-3258,254,358,326
-892,-15946,-3376,140,254,126
-726,-16104,-3244,116,214,70
-584,-15958,-3194,40,-20,4
-612,-15892,-3290,152,-234,66
