ax,ay,az,gx,gy,gz
-454,-12484,-10450,178,62,60
-348,-12544,-10516,196,94,68
-288,-12564,-10446,214,110,80
-238,-12588,-10382,238,74,58
-326,-12618,-10340,214,18,44
-384,-12614,-10378,190,30,60
-368,-12588,-10352,162,-12,78
-358,-12678,-10316,130,-8,74
-384,-12700,-10364,130,-34,44
-380,-12622,-10362,118,-72,22
-434,-12622,-10338,82,-74,14
-432,-12730,-10324,12,-32,-10
-378,-12730,-10320,-36,-34,18
-336,-12684,-10332,-70,-24,18
-320,-12678,-10394,-70,-8,28
-324,-12660,-10380,-88,-14,34
-322,-12560,-10362,-122,-60,30
-290,-12506,-10410,-120,-98,34
-342,-12534,-10448,-122,-118,12
-432,-12552,-10502,-132,-70,28
-468,-12490,-10522,-118,-12,56
-494,-12406,-10524,-86,50,78
-520,-12338,-10582,-44,104,88
-430,-12456,-10472,-62,138,110
-540,-12556,-10412,-48,112,94
-484,-12688,-10420,-108,238,92
-354,-12676,-10458,-76,202,72
-404,-12594,-10552,-16,230,30
-362,-12394,-10532,54,186,-16
-324,-12468,-10360,90,164,0
-198,-12542,-10418,56,82,50
-184,-12504,-10416,82,92,78
-154,-12616,-10368,112,0,8
-240,-12744,-10320,68,-104,10
-264,-12740,-10248,14,-162,30
-454,-12674,-10422,-26,-130,26
-390,-12608,-10414,-100,-70,22
-292,-12578,-10366,-156,-120,26
-356,-12590,-10466,-160,-196,22
-554,-12530,-10456,-126,-142,-4
-554,-12488,-10504,-150,-88,-12
-496,-12466,-10602,-138,-18,-12
-314,-12494,-10418,-136,22,-14
-276,-12494,-10428,-120,-68,-34
-370,-12510,-10490,-122,-124,-64
-360,-12574,-10546,-120,-104,-38
-360,-12464,-10510,-94,-60,-28
-364,-12512,-10530,-68,-38,-16
-414,-12432,-10518,-86,-30,-18
-374,-12350,-10602,-70,24,26
