ax,ay,az,gx,gy,gz
-15758,-374,4214,-120,612,288
-15662,-536,4148,-262,318,236
-15650,-442,4172,-282,-84,148
-15734,-136,4168,-364,-474,60
-15732,-108,4030,-316,-634,60
-15818,-284,4158,-320,-702,46
-16056,-384,4006,-476,-878,4
-16182,-298,3712,-626,-750,30
-16142,-214,3708,-692,-452,102
-16114,-242,3900,-780,-334,182
-16236,-312,3852,-1052,-370,234
-16180,-354,3816,-1156,-202,262
-15992,-334,3764,-1286,2,280
-15836,-116,3718,-1310,-68,208
-15600,28,3688,-1244,-164,70
-15512,272,4028,-956,-402,-278
-15718,340,4532,-628,-902,-488
-16110,374,4374,-266,-1718,-794
-16232,332,4082,-10,-2070,-950
-16186,-4,3924,308,-1948,-852
-15942,-514,4092,584,-1550,-716
-15752,-894,4462,718,-1236,-666
-16122,-936,4676,652,-1050,-632
-16372,-694,4500,600,-774,-550
-16172,-564,4454,558,106,-286
-15862,-606,4936,430,490,-134
-15604,-732,5234,274,114,-70
-15254,-756,4882,176,-154,-84
-14928,-794,4726,52,-590,-208
-15124,-880,4566,-154,-1208,-258
-15520,-688,4596,-382,-1464,-218
-15704,-258,4498,-466,-1356,6
-15694,70,4484,-338,-810,336
-16378,-708,4680,-22,-228,166
-16752,534,4632,-596,-156,-800
-15908,-634,5576,-1664,1018,408
-15054,-120,6624,-2562,-1094,860
-15492,-602,4304,-1668,-3026,1108
-16544,-2310,2250,170,-1070,-504
-16106,-758,4202,-66,950,-288
-15272,736,6148,-68,844,254
-14986,1218,6510,856,-618,620
-15768,-452,5530,970,-1208,462
-16294,-1510,4506,752,90,132
-15902,-902,4714,200,1220,252
-15618,-1054,4244,-324,1514,142
-15552,-1550,3526,-652,1924,-18
-15144,-1564,4342,-636,2208,-44
-14630,-712,6080,-446,694,-18
-14948,-236,6318,-356,-1096,8
