ax,ay,az,gx,gy,gz
690,-12896,-10112,522,1000,24
588,-12650,-10148,372,652,204
422,-12812,-10100,148,552,264
192,-12696,-10222,-314,476,310
452,-12582,-10254,-398,368,388
510,-12650,-10066,-510,128,428
442,-12642,-10168,-546,-326,466
316,-12488,-10286,-734,-554,464
378,-12356,-10104,-804,-916,460
266,-12982,-10064,-1012,-1258,422
122,-13014,-10940,-1242,-1542,126
-218,-12372,-11056,-832,-1252,-58
16,-12326,-10340,-1264,-1290,-122
358,-12456,-10224,-1116,-1964,-288
432,-12814,-10406,-1188,-2420,-560
-110,-12674,-10968,-1334,-2766,-808
-548,-12436,-11430,-886,-2642,-1034
-14,-12436,-10894,-718,-2272,-1170
526,-12138,-10594,-660,-2874,-796
160,-11250,-11536,-318,-3364,-330
192,-10738,-11598,398,-3130,678
194,-11070,-11392,928,-3400,1018
-346,-10958,-11282,1152,-3956,1126
-1150,-10944,-11550,1424,-3710,1256
-1602,-11202,-11556,1578,-3320,1606
-1542,-11506,-11102,1474,-2612,1810
-1592,-12810,-10450,1472,-2590,1688
-1696,-13650,-10242,850,-2428,1510
-1490,-13276,-10728,470,-2720,1156
-1976,-13086,-10384,418,-2548,1338
-2470,-12904,-10352,362,-2530,1576
-2718,-13200,-9908,0,-2432,1448
-2638,-13290,-9634,-678,-2392,1146
-3078,-13032,-9886,-788,-2440,1196
-3292,-12446,-9914,-794,-1984,1494
-2320,-13202,-10008,-916,-2008,1944
-2174,-13422,-10500,-968,-2504,2402
-2562,-12148,-10924,-1034,-2740,2326
-2600,-10896,-10764,-986,-2452,2428
-2926,-11338,-10482,-714,-2364,2774
-3038,-11838,-10714,-520,-2146,2734
-2804,-11802,-11258,-170,-1938,2332
-2508,-11170,-10928,96,-2042,1958
-2534,-11948,-9640,-4,-1834,2408
-3704,-14538,-9174,-764,-2334,2740
-5590,-13684,-10668,-1482,-2128,1816
-7440,-11458,-9486,-1838,-678,1140
-8348,-10800,-8732,-1830,196,1312
-7792,-10618,-8938,-1876,670,2000
-6188,-12270,-9090,-2144,776,2920
