ax,ay,az,gx,gy,gz
-714,-15994,-3668,-422,50,120
-594,-15986,-3618,-470,-48,148
-756,-16100,-3678,-602,-134,180
-908,-15984,-3832,-588,-254,140
-1128,-15820,-4008,-512,-294,96
-1290,-15590,-4184,-456,-146,24
-1160,-15560,-4222,-344,46,42
-880,-15546,-4162,-206,104,60
-762,-15500,-4224,52,-18,36
-860,-15574,-4146,152,-110,8
-1058,-15800,-4030,206,-146,-86
-1136,-15888,-3984,242,-102,-120
-968,-15846,-3938,316,-52,-70
-816,-15810,-3976,396,0,28
-784,-15784,-4024,446,-22,30
-892,-15816,-3978,566,-98,-86
-924,-15766,-3840,604,-192,-136
-978,-15958,-3698,498,-204,-122
-1040,-16154,-3564,374,-120,-116
-1138,-16368,-3434,204,-24,-80
-1106,-16368,-3428,-18,16,-94
-942,-16376,-3468,-248,106,-16
-778,-16246,-3472,-392,192,84
-744,-16130,-3618,-434,70,138
-960,-15916,-3834,-434,-98,78
-900,-15686,-3860,-404,-124,54
-686,-15600,-3976,-416,-106,72
-584,-15592,-4064,-344,-220,62
-782,-15758,-4184,-226,-342,4
-1098,-15984,-4192,-144,-244,-98
-1266,-15798,-3878,-22,-64,-14
-1130,-15836,-3898,-66,150,68
-994,-15858,-3960,-74,164,66
-966,-15864,-3988,-14,142,30
-986,-15834,-3906,16,122,50
-954,-15864,-3864,-68,136,54
-700,-15854,-4014,-42,16,-14
-636,-15736,-4080,80,-30,-76
-784,-15826,-3980,168,-64,-42
-994,-15906,-3844,226,-110,8
-1028,-15944,-3832,164,-88,42
-1078,-16024,-3842,66,-66,36
-1112,-16016,-3818,-30,4,6
-928,-15998,-3864,-84,90,-38
-834,-15886,-3840,-82,140,-52
-788,-15836,-3922,-64,112,8
-886,-15848,-3948,-80,86,58
-916,-15918,-3920,-68,76,76
-788,-15886,-3952,4,-2,48
-796,-15792,-3996,42,-32,64
