ax,ay,az,gx,gy,gz
-16230,-1780,126,-3252,-6080,770
-16166,606,-244,-2948,-4720,-380
-15278,566,2218,-3120,-2654,-1968
-12790,-1316,2842,-3372,-2706,-2872
-11546,-3946,2268,-4384,-4048,-3624
-11706,-3316,1136,-4588,-4886,-4102
-12252,-2616,1316,-4340,-4420,-3978
-11920,-1468,2106,-4068,-3884,-2152
-11448,-1792,2280,-3676,-4294,-546
-11814,-1826,1410,-2714,-4386,552
-11572,-1034,96,-1792,-3864,1526
-9954,-1650,128,-764,-2970,2098
-8372,-1248,204,656,-2840,2286
-8296,90,-320,3188,-3426,2218
-9526,978,286,5590,-2216,2850
-11102,-10,3050,7196,-1522,3576
-12352,-210,7498,7916,-2568,5136
-13624,-824,9496,8198,-3388,7534
-17926,-2794,9506,9550,-3962,6594
-25948,-4998,8054,8488,-3302,2078
-22950,-5980,104,3268,3538,-1030
-15930,-4088,5124,-566,11168,-184
-11356,-2140,8022,-1344,8670,34
-9598,3662,9538,-1488,1170,514
-9982,4986,8112,1004,-3988,1630
-11702,2536,6382,2500,-4784,2922
-15202,-88,7754,2530,-3706,2508
-16940,1088,7798,1750,-4302,2764
-18790,1112,4588,1614,-3266,2414
-18730,2430,3586,796,-216,2250
-16000,2938,4972,1216,2342,2030
-14284,2926,5938,1212,2960,2094
-13504,2788,6232,1698,2258,2234
-13770,2134,6216,1742,570,2230
-14630,1710,5934,1436,-900,1716
-15486,1966,5244,676,-2252,992
-15862,2962,4496,410,-2552,690
-16056,3552,4016,584,-1674,944
-15900,2864,4538,764,-300,1726
-15592,1914,4948,484,238,2030
-15306,994,5172,-174,332,1902
-15216,1098,5274,-718,150,1540
-15318,1342,5264,-1480,112,1058
-15598,1688,5290,-2170,360,730
-15732,2154,5232,-2386,846,364
-15300,2750,5170,-2302,1236,172
-14874,3504,5084,-1812,1256,-114
-14754,3300,4880,-1324,1110,-322
-15054,2794,4520,-1444,1102,-704
-15738,1680,3748,-1800,1452,-1306
