ax,ay,az,gx,gy,gz
-16430,-704,2040,790,18,-78
-16508,-704,2072,700,54,-24
-16384,-758,1992,652,76,74
-16252,-700,1978,624,50,138
-16340,-674,1982,580,0,122
-16368,-736,1938,586,76,114
-16362,-846,1954,584,160,78
-16380,-822,1996,534,302,50
-16318,-786,2016,450,458,14
-16240,-862,2040,338,462,4
-16266,-854,1954,122,370,10
-16344,-750,1950,-70,324,2
-16344,-642,1896,-300,254,-4
-16312,-502,1812,-402,180,18
-16402,-302,1858,-398,206,24
-16498,-60,1742,-324,242,78
-16390,-80,1682,-202,306,104
-16272,-148,1638,-8,328,66
-16286,-144,1582,142,324,-16
-16406,-108,1472,224,326,-94
-16366,-172,1498,184,278,-136
-16298,-290,1550,138,100,-134
-16280,-428,1440,-152,-218,-86
-16302,-600,1418,-464,-448,8
-16520,-722,1676,-864,-554,74
-16616,-684,1810,-1092,-392,106
-16542,-664,1902,-1188,-126,152
-16366,-566,1982,-1110,200,126
-16346,-412,2248,-984,364,54
-16140,-538,1996,-608,586,-8
-16230,-710,2540,-510,394,-12
-16794,296,2870,-604,8,-112
-16912,1014,2668,-116,-152,310
-16682,-440,1766,362,-604,926
-15688,-1912,1790,872,264,300
-15624,-1900,2154,1024,196,-226
-16396,-1130,1742,622,-38,-594
-16356,-262,1952,248,-42,-428
-16124,-100,2248,468,-178,-58
-16474,-190,2256,820,-208,-44
-16746,-362,2186,1010,-214,-208
-16632,-378,1940,1072,-150,-130
-16438,-522,1746,1234,80,-2
-16404,-738,1532,1488,436,-34
-16464,-606,1466,1626,668,-60
-16508,-440,1554,1658,666,-46
-16514,-308,1614,1686,622,-8
-16394,-416,1558,1660,646,14
-16104,-534,1484,1630,454,4
-16158,-648,1472,1554,258,-44
