ax,ay,az,gx,gy,gz
-15960,476,4074,-108,-94,-32
-16026,506,4048,-106,-98,-12
-16004,470,3956,-80,-46,30
-15952,422,3984,-108,-38,34
-15920,398,4034,-118,-88,16
-15962,468,4040,-104,-106,-8
-15964,492,4050,-134,-98,2
-16018,450,3972,-128,-100,2
-15976,468,4010,-92,-76,20
-15968,470,4100,-74,-78,2
-16040,544,4052,-42,-114,-6
-16014,460,3982,-22,-58,18
-15948,446,4036,-20,-8,10
-15938,430,4074,-16,-72,2
-15972,474,4038,4,-96,0
-16014,492,4044,4,-50,-8
-15986,442,4064,-8,-16,8
-15976,404,4070,-20,-24,34
-15954,398,4036,-28,-18,38
-15964,432,4120,-64,-46,28
-15988,422,4108,-82,-72,44
-15958,432,4034,-62,-38,46
-15906,412,4068,-68,-16,32
-15938,426,4120,-58,-46,14
-16032,404,4048,-74,-54,22
-15974,410,4084,-72,-26,56
-15962,438,4084,-40,-8,42
-15960,482,4090,-50,4,30
-15948,398,4084,-54,-30,46
-15992,328,4060,-100,-36,44
-15954,416,4092,-110,-20,40
-15918,458,4126,-94,-28,32
-15940,462,4084,-110,-74,44
-16014,398,4032,-110,-50,62
-15996,436,4060,-128,-16,62
-15932,444,4100,-136,-2,56
-15968,464,4110,-90,-38,64
-15988,456,4096,-60,-6,42
-15994,456,4070,-38,40,44
-15962,466,4062,-10,42,56
-15924,460,4086,16,8,60
-15902,494,4074,40,28,32
-15938,438,4074,66,-16,12
-16002,470,4050,26,32,-2
-15992,458,4110,50,34,34
-16056,536,4066,96,20,68
-16064,488,3948,66,104,84
-15998,476,3964,88,186,72
-15936,546,4042,124,130,44
-15920,608,3980,138,116,58
