ax,ay,az,gx,gy,gz
-16106,-224,1642,-1628,206,-46
-16162,-324,1760,-1790,-32,-222
-16264,-292,1758,-1938,-206,-324
-16366,-352,1738,-2058,-342,-346
-16472,-342,1730,-2208,-454,-350
-16424,-252,1630,-2348,-498,-402
-16254,-202,1566,-2428,-440,-504
-16108,-386,1870,-2388,-354,-640
-16308,100,1932,-2358,-370,-786
-16494,188,1784,-2262,-352,-828
-16488,86,1824,-2196,-272,-780
-16360,40,1840,-2178,-256,-736
-16328,4,1930,-2154,-250,-706
-16340,-36,2044,-2124,-380,-760
-16266,4,2134,-2102,-528,-778
-16220,-106,2376,-2108,-782,-706
-16256,-276,2498,-2120,-962,-688
-16360,-498,2450,-2276,-1146,-680
-16384,-580,2618,-2478,-1172,-684
-16332,-676,2862,-2600,-1242,-656
-16436,-872,3000,-2854,-1422,-604
-16672,-888,2926,-2982,-1600,-508
-16884,-778,2832,-3190,-1442,-366
-16716,-496,3128,-3262,-1110,-86
-16428,-588,3322,-3160,-960,164
-16238,-964,3364,-2990,-1054,348
-16310,-914,3294,-2800,-1092,470
-16104,-1292,3372,-2402,-1290,994
-15782,-1084,3232,-2142,-1110,882
-15174,-932,3398,-1646,-1670,892
-15086,-1396,2906,-1294,-2376,450
-15314,-1630,2812,-1540,-2924,452
-16110,-1144,3640,-1286,-3190,340
-16822,-1392,3148,-356,-3078,36
-17640,-1506,3420,-340,-1932,282
-17562,-2458,2930,-162,-866,294
-17120,-3752,2702,-442,370,168
-16954,-4080,2938,-696,1052,-368
-16626,-3614,3110,-968,1346,-894
-16124,-2882,2940,-814,1648,-1278
-15724,-2654,2818,-416,1642,-1278
-15914,-2786,2506,58,1196,-1306
-16416,-2734,1830,514,1076,-1340
-16720,-2564,1448,1022,1456,-1422
-16638,-2448,1410,1618,1912,-1510
-16536,-2258,1474,1844,2048,-1428
-16160,-2320,1552,2094,1962,-1284
-16026,-2330,1544,2204,1906,-1058
-15896,-2280,1532,2296,1790,-646
-15702,-2410,1352,2444,1548,-396
