ax,ay,az,gx,gy,gz
484,5818,19094,396,5512,3388
1474,150,19004,1194,394,3552
1770,50,16370,778,-3596,-52
4896,1070,14180,240,-378,-434
10330,408,14100,-2620,10172,2106
3146,5550,17120,-2166,6744,418
3688,6212,17770,-3788,1316,2102
3294,5400,16752,-2046,-1064,3336
1942,3422,16442,-850,-2562,3868
1836,3106,16304,-1282,-1900,3534
1822,2404,16610,-2272,-370,3272
2522,2332,15890,-2624,896,2262
2466,2540,16398,216,1476,752
198,3664,17120,1212,-1112,790
4588,6418,17296,-4316,-3852,500
4536,3652,15912,-10124,1824,424
3096,2502,16308,-8830,2284,488
3592,3064,15700,-3428,-1270,3854
4078,1396,14716,-1642,-414,6546
3958,948,14944,-2896,2000,5274
2926,-568,14754,-5286,2948,2906
2076,-1446,15448,-5374,3354,330
378,-1176,14956,-3198,-1658,-446
-290,-2510,15992,-894,-5908,-32
-1264,-4184,15804,4696,-13938,654
1256,-3518,13082,2258,-15862,-3234
5776,1068,8452,-1622,-8026,-5544
5690,1300,11878,-2870,1542,-6278
5104,2138,15332,-1208,2866,-3308
4840,1558,16578,-90,1118,-1596
6354,1464,16090,-2644,1452,-858
4562,-114,14830,-3180,2498,-6904
3896,-50,16514,-2534,4702,-4102
2804,326,18430,470,1436,-1378
7624,1846,15202,1498,-564,-124
6400,3056,14908,-1646,2406,-1210
4266,1254,15736,-404,2500,-90
2412,-556,17026,-242,-50,-1008
1910,-398,17314,-1420,-682,-1796
1366,1906,17542,-390,-1794,388
5116,722,14478,1548,-914,970
696,450,16946,604,-3114,-1572
1390,-908,16128,2104,-4856,-1844
13518,-1618,13740,880,-1978,-3530
8150,-882,14936,388,1054,-4482
3350,3716,13224,432,2836,-1758
6502,3254,16818,-1462,1452,-1260
6280,1818,17352,-300,-1760,-1016
4404,1134,15910,-26,-3304,-178
5126,122,15136,830,-1418,392
