ax,ay,az,gx,gy,gz
-2252,1000,-16114,16,-30,14
-2266,1002,-16140,18,-24,16
-2266,1022,-16064,26,-18,10
-2254,1046,-16148,28,-26,14
-2278,968,-16130,22,-22,4
-2238,1004,-16158,18,-26,12
-2274,994,-16142,24,-22,14
-2282,1022,-16126,26,-14,0
-2246,1004,-16114,50,40,24
-2350,1008,-16120,34,110,50
-2414,1084,-16170,28,64,60
-2176,1026,-16046,-106,24,30
-2254,1024,-16170,28,-40,6
-2260,1006,-16086,144,-72,2
-2244,952,-16160,128,-76,-16
-2294,986,-16132,2,-108,-4
-2254,986,-16152,-32,-58,6
-2256,1002,-16100,-62,-90,30
-2254,1016,-16164,-38,-90,34
-2272,1010,-16098,-10,-86,26
-2284,1050,-16122,12,-58,32
-2312,942,-16206,76,-18,8
-2312,986,-16144,110,68,0
-2294,966,-16178,54,70,2
-2258,980,-16120,-14,22,24
-2254,1022,-16158,2,-4,28
-2244,982,-16112,182,-6,22
-2260,948,-16162,116,-18,26
-2234,984,-16106,148,-28,12
-2302,932,-16136,-14,-10,10
-2246,1010,-16138,58,-38,-50
-2290,936,-16042,-8,-40,-32
-2244,760,-16310,24,-104,14
-2230,976,-16100,-48,-66,-8
-2422,1028,-16086,52,-88,-6
-2260,1024,-16098,32,-26,-8
-2330,1024,-16078,14,-26,16
-2270,992,-16148,24,-32,4
-2286,1000,-16108,-30,-38,16
-2256,1008,-16112,-12,-28,14
-2274,986,-16178,-10,-12,6
-2208,896,-16026,-46,-24,24
-2440,834,-16150,-56,56,10
-2236,1036,-16102,26,28,4
-2236,986,-16170,74,-8,4
-2262,984,-16116,22,-26,10
-2242,1022,-16124,24,-36,16
-2282,1038,-16188,24,-16,12
-2256,998,-16114,-34,-30,20
-2252,990,-16156,44,-30,2
