ax,ay,az,gx,gy,gz
-16024,584,3774,-38,-20,34
-15980,586,3758,-60,-30,8
-16004,618,3806,-32,-24,0
-16026,674,3812,-2,-38,8
-16088,712,3800,-4,-20,18
-16060,640,3760,-30,-12,32
-16012,596,3772,-12,-16,6
-15996,640,3828,4,-48,-24
-16066,648,3818,28,-66,-10
-16038,638,3746,24,-22,-6
-15920,628,3812,18,-44,2
-15950,630,3840,-2,-72,0
-16032,638,3740,10,-102,-8
-16104,652,3728,54,-26,-16
-16068,598,3792,72,-4,-6
-16044,608,3816,38,-46,6
-16044,656,3794,40,-50,4
-15986,620,3824,48,24,10
-15928,572,3830,40,8,16
-15936,592,3792,30,-26,6
-16058,634,3792,28,-32,-8
-16070,550,3768,-2,-52,2
-16018,618,3806,-36,-32,10
-16000,604,3832,-24,-54,10
-15986,588,3800,-42,-80,-2
-16020,594,3778,-40,-96,8
-16010,628,3830,-76,-70,6
-16030,598,3798,-66,-78,8
-15996,584,3776,-78,-74,24
-16038,604,3784,-90,-36,22
-16016,586,3832,-72,-56,12
-16054,642,3836,-68,-56,10
-16036,636,3804,-70,-64,24
-15990,604,3826,-68,-48,8
-15994,592,3836,-76,-64,34
-16004,602,3812,-76,-46,14
-15992,636,3780,-86,-52,12
-15944,554,3850,-96,-64,6
-16004,606,3886,-98,-112,4
-16084,604,3826,-96,-132,-4
-16080,612,3782,-94,-52,4
-15980,638,3824,-82,-8,8
-15948,678,3886,-76,-78,14
-15966,594,3924,-66,-122,-6
-16026,598,3776,-38,-104,-24
-16010,658,3804,28,-58,-20
-16014,656,3856,22,-80,-4
-16028,602,3880,22,-76,0
-16032,610,3866,22,-102,-14
-15990,604,3848,32,-48,-16
