ax,ay,az,gx,gy,gz
-15706,22,5474,272,-340,-12
-15850,116,5318,400,-300,-132
-15652,148,5200,592,-42,-174
-15576,150,5278,888,96,-114
-15610,120,5308,1176,116,-140
-15668,188,5266,1292,154,-198
-15656,148,5294,1394,250,-204
-15614,62,5458,1508,228,-208
-15608,102,5300,1684,314,-226
-15736,58,5432,1766,236,-292
-15800,0,5320,1794,318,-376
-15726,-158,5326,1740,532,-432
-15620,-282,5256,1590,610,-494
-15538,-228,5272,1460,558,-540
-15520,-136,5334,1284,442,-558
-15518,-112,5324,1122,334,-540
-15606,-208,5220,828,190,-568
-15474,28,4946,616,172,-508
-15438,102,5008,442,84,-288
-15674,-38,5220,108,-46,-150
-15802,-112,5120,-130,-120,22
-15738,-344,5094,-508,-120,180
-15562,-332,5236,-862,-144,270
-15486,-168,5374,-1066,-258,392
-15538,-116,5308,-1220,-350,428
-15648,-130,5198,-1384,-364,430
-15654,-108,5136,-1480,-294,438
-15584,-108,5124,-1512,-244,446
-15644,14,5204,-1464,-192,358
-15718,230,5288,-1374,-138,334
-15730,106,5314,-1234,-234,354
-15734,114,5200,-1018,-220,406
-15638,76,5208,-790,-90,404
-15576,16,5228,-542,64,286
-15596,-134,5318,-448,52,202
-15650,-202,5342,-396,-64,142
-15652,-174,5220,-342,-80,112
-15692,-308,5162,-328,30,88
-15586,-322,5224,-318,56,68
-15556,-274,5378,-358,14,54
-15586,-238,5394,-410,-96,74
-15706,-200,5344,-406,-96,94
-15624,-144,5232,-434,-22,82
-15522,-82,5300,-408,12,88
-15598,-60,5376,-372,-42,28
-15662,-58,5360,-310,-114,56
-15688,-56,5328,-264,-114,72
-15652,46,5216,-172,-32,42
-15634,50,5264,-88,20,20
-15584,12,5356,26,4,-84
