ax,ay,az,gx,gy,gz
-2908,-15214,-5164,92,-128,-10
-2822,-15350,-5060,164,210,78
-2640,-15446,-5026,162,392,100
-2600,-15470,-5092,200,482,124
-2548,-15420,-4996,286,456,46
-2464,-15380,-4874,378,268,-24
-2402,-15362,-4810,362,26,-130
-2446,-15402,-4812,274,-54,-150
-2566,-15340,-4882,282,-152,-82
-2668,-15372,-4988,300,-138,-54
-2776,-15424,-4958,274,40,-34
-2644,-15598,-4892,226,268,-28
-2434,-15606,-4792,218,316,-34
-2296,-15576,-4752,264,178,-32
-2318,-15498,-4708,226,66,-60
-2388,-15394,-4724,186,-80,-68
-2518,-15370,-4810,186,-134,-4
-2606,-15464,-4858,174,-66,46
-2622,-15516,-4790,100,74,88
-2512,-15550,-4768,88,80,78
-2484,-15492,-4834,56,64,32
-2504,-15398,-4856,76,20,10
-2600,-15372,-4844,152,-36,-14
-2608,-15360,-4856,196,-42,-44
-2594,-15318,-4908,226,-28,-26
-2548,-15458,-4892,236,86,-8
-2570,-15518,-4786,232,148,14
-2580,-15524,-4792,266,104,-6
-2522,-15512,-4800,262,158,-16
-2460,-15606,-4734,268,202,6
-2378,-15472,-4656,222,158,-20
-2326,-15416,-4680,210,98,8
-2362,-15468,-4728,188,52,30
-2430,-15528,-4668,208,8,48
-2534,-15558,-4618,126,-42,28
-2606,-15540,-4652,62,-42,24
-2530,-15574,-4718,48,18,26
-2504,-15590,-4748,94,32,22
-2560,-15446,-4680,94,78,14
-2564,-15440,-4712,84,44,24
-2544,-15454,-4706,32,96,48
-2378,-15468,-4782,70,112,48
-2346,-15476,-4736,118,112,26
-2356,-15546,-4656,102,64,78
-2382,-15690,-4600,70,126,206
-2522,-15556,-4590,16,32,132
-2662,-15516,-4650,-46,-32,60
-2660,-15504,-4720,-134,-40,10
-2584,-15414,-4756,-142,-62,-74
-2576,-15572,-4622,-106,-140,-152
