ax,ay,az,gx,gy,gz
-15758,-220,4874,54,38,56
-15742,-224,4860,54,2,52
-15776,-242,4828,58,14,28
-15806,-264,4844,50,50,6
-15804,-264,4800,78,80,12
-15674,-230,4782,104,136,48
-15650,-252,4918,112,84,34
-15708,-310,4926,100,-90,-34
-15788,-276,4810,100,-80,-56
-15834,-178,4736,114,-20,-8
-15798,-228,4734,90,16,38
-15732,-316,4850,72,-6,14
-15742,-336,4840,38,-32,-26
-15802,-324,4832,30,-24,-44
-15772,-214,4740,20,40,-2
-15722,-218,4758,20,80,62
-15700,-312,4838,-12,16,56
-15726,-266,4812,-26,-52,20
-15798,-236,4784,-28,-88,-30
-15812,-214,4756,0,-28,-12
-15802,-218,4770,12,18,22
-15782,-232,4810,-10,-40,24
-15758,-258,4846,-20,-46,6
-15792,-206,4824,6,-20,-12
-15788,-208,4724,34,6,32
-15744,-284,4742,36,24,50
-15732,-248,4806,12,-6,36
-15772,-270,4868,0,-48,-2
-15768,-226,4816,12,-46,-28
-15762,-202,4706,10,-44,12
-15822,-258,4834,12,-38,34
-15802,-306,4754,-20,-54,36
-15748,-328,4760,-6,-12,38
-15706,-250,4818,4,-64,4
-15768,-254,4788,8,-82,0
-15838,-258,4764,-2,-46,4
-15844,-220,4790,-2,20,10
-15788,-250,4842,-18,50,-8
-15756,-262,4824,2,-14,4
-15780,-228,4812,18,-34,24
-15742,-236,4838,32,14,24
-15692,-228,4842,50,10,20
-15648,-202,4862,42,-58,-18
-15724,-276,4836,34,-120,-14
-15850,-312,4788,6,-128,-4
-15886,-254,4758,-12,-42,12
-15788,-262,4834,-20,46,34
-15724,-274,4892,-12,18,24
-15740,-226,4822,-22,-36,32
-15782,-198,4782,-16,-18,28
