ax,ay,az,gx,gy,gz
-488,-14202,-8070,28,8,36
-536,-14260,-8078,48,6,24
-374,-14328,-7980,22,38,38
-358,-14146,-8074,26,-34,4
-386,-14164,-8136,70,-92,-32
-622,-14166,-8178,150,-60,-38
-488,-14268,-7950,94,34,-24
-396,-14354,-7998,52,54,-14
-328,-14286,-8042,46,62,28
-316,-14206,-8054,62,52,42
-410,-14252,-8034,30,-20,38
-478,-14244,-8030,6,-8,36
-412,-14262,-8038,-30,8,42
-364,-14282,-8002,-20,-22,38
-402,-14310,-7982,-50,-62,20
-476,-14290,-8026,-54,-106,14
-516,-14174,-8082,-54,-78,4
-510,-14216,-8086,-68,-38,-14
-476,-14284,-8056,-98,-14,8
-510,-14254,-8038,-106,82,100
-436,-14238,-8110,-140,186,126
-238,-14258,-8074,-120,144,138
-276,-14246,-8064,-78,18,120
-290,-14154,-8032,-112,-12,76
-388,-14098,-8114,-84,-66,40
-452,-14172,-8120,-88,-116,34
-446,-14192,-8114,-92,-122,28
-458,-14214,-8122,-76,-124,36
-522,-14240,-8100,-92,-98,48
-618,-14196,-8126,-80,-78,48
-512,-14170,-8136,-100,-32,30
-458,-14068,-8176,-62,2,24
-510,-14078,-8164,-58,-16,10
-466,-14146,-8144,-66,-24,-34
-520,-14242,-8106,-96,-40,-46
-358,-14236,-8068,-76,22,-24
-346,-14118,-8172,-82,-84,-42
-462,-14112,-8246,-32,-166,-78
-602,-14078,-8230,52,-98,-94
-414,-14210,-8082,-12,-26,-136
-278,-14290,-8062,-34,-144,-166
-310,-14274,-8102,-70,-240,-162
-376,-14192,-8146,-86,-272,-94
-476,-14198,-8098,-110,-96,-18
-498,-14182,-8146,-184,-26,-6
-462,-14254,-8150,-218,50,50
-400,-14320,-8104,-264,40,88
-316,-14308,-8120,-258,-28,86
-432,-14178,-8202,-250,-92,50
-574,-14030,-8272,-280,-68,30
