ax,ay,az,gx,gy,gz
-15790,-482,3610,-1400,1936,1024
-16206,-534,3308,-990,1920,940
-16296,-360,2950,-498,1876,774
-16150,-548,2942,-10,1748,826
-15950,-726,2510,326,1204,798
-16064,-706,2126,388,676,688
-16134,-634,1766,460,234,674
-15892,-518,1812,434,2,652
-15748,-166,1752,454,-694,588
-15950,124,1516,618,-1594,518
-16172,234,1318,836,-1890,426
-16404,124,1218,1386,-1986,58
-16898,110,1462,1822,-1824,-384
-16680,-108,1256,2228,-1392,-1008
-16410,76,1228,2680,-1470,-1312
-15944,-122,1366,2874,-1506,-1222
-16050,-582,2298,3166,-2426,-786
-15824,-1318,2580,3054,-2686,-1146
-15664,-1098,3016,2660,-3198,-1464
-16236,-1312,2966,2518,-3810,-1444
-16452,-1272,3090,2316,-3482,-1302
-16120,-1238,3526,2076,-2986,-962
-15842,-1544,3824,1948,-2890,-800
-15674,-1376,4118,1512,-2932,-810
-15698,-1488,4158,1296,-3132,-822
-15554,-1240,4082,1050,-3230,-780
-15420,-1034,4212,1000,-3330,-858
-15410,-964,4504,1030,-3696,-902
-15416,-584,4622,1160,-4094,-826
-15424,-18,4520,1376,-4038,-870
-15472,378,5148,1626,-3880,-1098
-15756,696,5644,1682,-4064,-982
-16050,980,5684,1826,-3978,-778
-16578,592,5788,1952,-3134,-466
-16526,-134,5662,2100,-2292,-718
-15788,-474,5812,1756,-1180,-790
-15250,-1092,6436,1700,-814,-730
-15004,-1984,7410,1362,-984,-680
-15192,-2268,7866,918,-1196,-708
-15672,-2064,7852,552,-1176,-686
-15608,-1628,7562,294,-478,-320
-15620,-2052,7688,188,28,-140
-16304,-2374,7686,-232,392,-214
-17046,-2090,7160,-562,1186,-12
-17060,-2066,6368,-1010,2952,632
-16202,-2048,6214,-1382,4290,1194
-15078,-2162,6454,-1754,5152,1484
-14292,-2056,6742,-2218,4944,1594
-14178,-1988,6384,-2558,4410,1534
-14440,-1524,6104,-2772,3814,1368
