ax,ay,az,gx,gy,gz
-16586,36,1442,798,-1398,-600
-17110,440,1328,1028,-1146,-962
-17102,360,1332,1114,-738,-934
-17162,434,1654,920,-430,-492
-17098,254,1734,782,-482,-118
-16764,-76,1836,582,-304,10
-16448,84,1782,480,-90,-108
-16336,252,1684,420,-32,-216
-16496,98,1932,134,88,-230
-16488,-204,2102,-134,-70,-244
-16452,42,1836,-354,-292,-334
-16696,406,1452,-306,-272,-418
-17190,578,2110,-24,-194,-576
-17270,470,2248,2,-442,-604
-17124,338,1694,-64,-962,-502
-17540,242,1536,28,-986,-460
-17686,314,1698,128,-840,-394
-17200,536,1876,178,-992,-174
-16936,574,1894,308,-1134,-44
-16778,480,1732,382,-1348,96
-16614,140,1812,346,-1570,240
-16554,-148,1924,192,-1606,268
-17370,1184,2628,-48,-906,484
-16382,550,3712,-1218,-2254,1614
-14112,-632,1286,-256,-826,1674
-13394,-2008,3276,200,-470,400
-11884,-948,4764,-252,-1512,-600
-12434,-974,5532,-128,-4320,-750
-14796,-1472,4626,-516,-5804,-694
-16724,-302,3524,-708,-4672,-1142
-17304,72,2710,-216,-2706,-1454
-17426,74,3588,222,-1330,-1170
-17328,184,3396,446,-1148,-618
-17436,274,2690,542,-812,134
-16830,-146,2218,452,386,644
-15982,-346,2914,296,1160,646
-15536,-234,3954,456,694,-154
-15728,158,3656,588,22,-690
-15994,1020,3390,986,-68,-572
-15974,1064,3490,1314,-100,-158
-15970,1028,3784,1368,-240,80
-16102,264,3834,1648,-290,10
-16452,-434,3990,1820,-266,-140
-16500,-1266,3710,1474,-240,-450
-16306,-2354,3790,1074,12,-578
-15966,-3174,4052,788,110,-1014
-15770,-2474,4488,-8,-94,-1650
-15924,-1416,3952,-576,-672,-1504
-16142,-1400,3024,78,-626,-770
-16072,-2168,2944,114,-306,-870
