ax,ay,az,gx,gy,gz
-10886,-7614,-9398,38,0,54
-11050,-7646,-9524,46,-56,40
-11108,-7592,-9610,28,58,10
-10904,-7616,-9476,34,74,38
-10902,-7616,-9488,34,-72,18
-11020,-7606,-9582,32,-54,-24
-10974,-7606,-9514,20,-44,-14
-10900,-7514,-9548,36,-74,26
-11002,-7516,-9528,8,-58,22
-11042,-7590,-9522,18,-58,-10
-10990,-7568,-9536,-10,-36,22
-10972,-7582,-9518,-6,-10,44
-10924,-7530,-9524,34,-34,8
-10992,-7562,-9528,58,-108,-32
-11072,-7592,-9578,30,-10,-28
-10968,-7582,-9480,24,48,8
-10860,-7486,-9478,64,-84,14
-10988,-7502,-9594,52,-76,20
-11020,-7574,-9504,60,2,30
-10926,-7546,-9428,82,-68,18
-11040,-7618,-9540,52,-102,26
-11122,-7666,-9630,14,26,28
-10990,-7630,-9446,20,-2,-20
-10912,-7616,-9452,12,-92,-54
-10882,-7650,-9494,20,-76,-34
-10932,-7576,-9434,-58,-18,-6
-10988,-7566,-9504,-50,-80,0
-11020,-7564,-9520,-48,-16,20
-11020,-7612,-9542,-36,-60,26
-11014,-7554,-9560,-4,-104,6
-10998,-7582,-9536,0,-46,-4
-11010,-7604,-9524,-54,-38,4
-11078,-7562,-9534,-50,-38,16
-10948,-7560,-9506,-28,-48,10
-10956,-7484,-9542,-24,-16,-6
-10952,-7504,-9476,-24,-42,-10
-11010,-7510,-9500,-10,-108,18
-11092,-7596,-9598,-22,-50,66
-11068,-7608,-9602,-6,6,40
-10962,-7456,-9480,44,-2,-6
-11062,-7510,-9518,-2,-80,-26
-11130,-7620,-9588,10,-24,-4
-10960,-7540,-9536,28,-6,-18
-10892,-7474,-9598,50,-30,-36
-10960,-7504,-9534,112,-44,18
-10936,-7512,-9464,176,-148,16
-11008,-7460,-9532,186,-240,-26
-11102,-7556,-9572,188,-134,-16
-11066,-7688,-9448,158,-60,18
-11080,-7686,-9444,130,-58,12
