ax,ay,az,gx,gy,gz
-14538,-1654,-7144,-368,716,248
-14348,-2018,-7468,-386,-16,-142
-13956,-2498,-7728,-20,130,-976
-14066,-2004,-7314,322,780,-1516
-14228,-1746,-7192,230,816,-808
-14340,-1482,-6840,136,76,-118
-14554,-1666,-7500,218,-192,276
-14434,-1842,-7646,186,350,566
-14618,-2078,-7684,332,914,860
-14622,-1778,-7280,412,1078,658
-14496,-1836,-7358,422,1208,820
-14442,-1946,-7206,476,1268,744
-14398,-1382,-7580,166,1272,934
-14422,-1700,-7540,-168,1616,1744
-14042,-1966,-7542,-52,1362,1682
-13952,-1766,-7598,-32,576,1134
-14184,-2040,-7802,208,114,858
-14388,-2016,-7784,410,-460,38
-14382,-2150,-8028,530,-358,-366
-14510,-2158,-8238,1030,450,-846
-14234,-1892,-7926,1228,970,-1136
-14314,-1718,-7712,1164,706,-1824
-15446,-1424,-7500,932,-3006,-1882
-15412,-1010,-7088,-208,-5508,-1602
-14356,-1380,-7082,-302,-4862,-1130
-14376,-1726,-6806,-34,-2670,-1106
-14890,-2278,-6722,138,-1664,-1372
-15194,-2246,-6922,-156,-1932,-1466
-15784,-2812,-6810,-236,-3344,-870
-15818,-3056,-6802,-406,-6260,164
-15612,-2722,-6678,-1048,-6824,1518
-15308,-1996,-6218,-1570,-5662,1800
-14860,-2194,-5910,-786,-4474,562
-14794,-2066,-5746,320,-2836,-694
-15192,-1788,-5748,50,-2566,-584
-15254,-1778,-5638,-510,-2918,556
-14462,-2130,-5186,-554,-2274,1330
-14348,-2256,-4866,-74,-1050,772
-14972,-2164,-5300,784,-258,-648
-15842,-2006,-5290,556,-60,-256
-15956,-2318,-5348,326,-938,766
-15492,-1890,-5306,76,-420,1216
-15104,-1746,-5060,336,752,734
-15340,-1898,-4944,636,610,-84
-15524,-1694,-5204,360,386,-146
-15564,-1896,-5454,116,454,482
-15242,-1794,-5542,-8,972,502
-15364,-1938,-5318,154,1312,56
-15408,-1766,-5394,-12,1156,-26
-15302,-1806,-5512,-142,1022,106
