ax,ay,az,gx,gy,gz
-12642,6460,-8406,204,10,140
-12582,6458,-8338,166,34,118
-12510,6460,-8316,128,54,42
-12610,6456,-8268,116,104,-36
-12570,6386,-8264,98,62,-108
-12614,6328,-8260,44,-44,-86
-12864,6242,-8412,-10,-66,0
-13026,6148,-8484,26,88,48
-12904,6064,-8318,50,260,8
-12648,6006,-8212,-2,272,-58
-12548,6138,-8204,-108,196,-94
-12468,6372,-8312,-182,112,-110
-12492,6570,-8382,-202,38,-110
-12506,6684,-8434,-176,20,-102
-12512,6692,-8380,-60,-24,-56
-12530,6598,-8220,8,-146,0
-12656,6372,-8210,68,-282,48
-12892,6242,-8376,136,-260,66
-12958,6180,-8374,174,-72,2
-12796,6150,-8220,104,50,-52
-12620,6220,-8290,8,32,-52
-12558,6282,-8198,-92,-56,-24
-12572,6364,-8158,-92,-54,-108
-12724,6550,-8278,-92,34,-106
-12666,6584,-8338,-96,88,-72
-12672,6536,-8272,-76,82,-22
-12806,6366,-8196,-12,28,0
-12986,6132,-8302,30,-6,38
-12890,6036,-8434,72,42,120
-12724,5968,-8358,78,110,62
-12534,6040,-8270,24,118,6
-12450,6228,-8292,-68,76,20
-12326,6426,-8300,-108,26,20
-12564,6732,-8298,-118,-8,-56
-12652,6882,-8342,-68,30,-70
-12566,6842,-8198,6,14,6
-12624,6620,-8088,58,-88,42
-13124,6174,-8352,88,-132,76
-13128,5912,-8456,170,-36,68
-12814,5816,-8446,158,96,10
-12542,5900,-8328,54,196,-94
-12434,6076,-8356,-88,146,-42
-12334,6394,-8308,-142,44,-14
-12500,6588,-8332,-158,28,-90
-12664,6740,-8418,-164,70,-104
-12552,6802,-8392,-130,56,-16
-12530,6702,-8188,-54,-90,60
-12828,6302,-8096,92,-246,28
-13214,5972,-8410,138,-146,62
-12950,5898,-8560,246,68,62
