ax,ay,az,gx,gy,gz
3198,2196,-15628,360,478,16
3626,2264,-15558,620,332,430
3880,1800,-15896,664,208,548
3948,1892,-16140,580,70,486
3980,1886,-15896,354,-216,658
4018,1878,-15806,390,-76,604
4100,2110,-15612,268,-376,1064
4190,1708,-15570,42,-572,1248
4190,1234,-15634,-214,-1086,240
3790,1564,-15852,-132,-1096,-608
3562,1942,-15846,44,-620,-634
3596,1528,-16048,-122,-608,-188
3418,1512,-15906,-152,-470,-556
3134,1938,-16340,-48,-166,-984
3046,2390,-16146,56,506,-450
3472,2182,-16100,178,1016,382
3772,1956,-15644,356,696,406
3964,1806,-15588,420,174,184
3694,1956,-15524,494,58,578
3906,1736,-15558,350,258,576
3932,1824,-15482,190,-434,408
3740,1764,-15812,246,-364,610
3660,1772,-15814,272,-310,824
3472,1682,-15768,118,-500,1122
3392,1632,-15988,140,-466,910
3178,1856,-15968,234,-196,1004
3162,1858,-15866,388,224,1528
3330,1682,-15742,550,204,1856
3452,1242,-15964,420,24,1764
3488,1100,-16012,350,408,1104
3378,1536,-15528,414,424,636
3302,1524,-15528,372,242,1020
3182,1110,-15746,12,-98,1644
3290,780,-16072,-104,440,1330
3574,946,-15646,-158,700,204
3990,1328,-15690,-204,840,-206
4106,1730,-15366,-252,420,-2
4292,1452,-15962,-244,18,580
4236,1506,-16026,-182,-24,764
4294,1494,-16068,102,540,850
4368,1412,-15804,118,390,772
4232,1378,-15742,-10,-84,498
4020,1548,-15824,-36,-370,314
3844,1292,-15808,-270,-314,382
4058,1320,-15770,-398,284,-516
4128,1766,-15340,-208,-170,-390
3792,1810,-15594,-238,-770,520
3220,1982,-15656,-294,-698,1100
2680,1620,-15374,-308,-856,850
1866,1278,-15492,-160,-818,-938
