ax,ay,az,gx,gy,gz
-15292,2648,5456,1418,210,-2124
-15532,2330,5152,1556,124,-2108
-15724,2070,4852,1482,162,-1954
-15852,1374,4606,846,330,-1646
-15770,788,4832,328,344,-1300
-15718,456,5448,-390,184,-896
-15728,640,5650,-1232,-60,-624
-15732,1070,5540,-1862,-330,-546
-15902,2064,5576,-1896,-58,-362
-15760,2494,5452,-1792,436,-106
-15236,2052,5438,-1598,1014,162
-14984,1548,5544,-1428,1172,60
-14926,1310,5590,-1454,846,-284
-15262,1410,5258,-1630,478,-562
-15836,1888,5004,-1704,328,-508
-16442,1780,4604,-1488,670,-50
-16220,1372,4432,-1092,1232,152
-15488,1148,4956,-654,1890,240
-14874,1004,5394,-318,1766,104
-14488,1018,5794,-80,1336,-112
-14256,784,5796,28,764,-430
-14304,426,5930,-150,404,-796
-14686,-464,5916,-88,-432,-1036
-15340,-1106,6020,-334,-1128,-1132
-16442,-1890,5846,-72,-1718,-818
-17028,-1462,6030,4,-2454,-824
-17304,-414,4994,-210,-2858,-1038
-17784,-618,3778,-912,-2500,-1598
-17820,-970,2976,-1718,-2006,-1988
-17740,-1160,2382,-2452,-1040,-2338
-17560,-766,2052,-2660,108,-2278
-16664,-444,2292,-2234,2084,-1824
-15602,-1030,3400,-2058,2770,-1300
-14834,-1866,4360,-2126,1826,-1036
-14846,-1930,4300,-2078,-586,-1392
-15472,-666,3550,-1932,-1300,-1194
-16046,270,3058,-1516,-260,-274
-15738,332,3122,-1160,744,622
-14862,-266,3512,-570,1236,1662
-14442,-738,3868,-270,832,2252
-14460,-1172,4006,-38,-150,2556
-15222,-340,4342,-48,-1254,2724
-15786,216,4134,-46,-1892,3222
-16844,-206,4672,-162,-1580,3316
-17812,-1118,5902,-408,-782,2494
-18116,-708,6334,-720,-808,1130
-17098,-182,5530,-1592,-756,10
-15656,12,4622,-1778,-196,-246
-13922,56,4580,-1526,232,-306
-13440,390,5632,-902,-328,56
