ax,ay,az,gx,gy,gz
-4118,-7868,-13758,182,-64,148
-4096,-7788,-13680,206,-116,226
-4258,-7768,-13652,262,30,236
-4330,-7878,-13658,256,-94,94
-4268,-7914,-13744,90,-90,-180
-4236,-7870,-13788,0,68,-304
-4180,-7794,-13712,114,-14,-296
-4066,-7752,-13714,248,-142,-94
-4046,-7808,-13654,304,-86,0
-4164,-7842,-13448,332,-28,-44
-4124,-7964,-13560,234,-96,-116
-4102,-8084,-13574,-146,-74,-210
-4068,-7918,-13600,-274,-92,-190
-4072,-7940,-13662,-274,-92,-98
-4036,-7866,-13844,-138,-50,-94
-4072,-7856,-13974,84,-28,40
-4102,-7812,-13912,552,82,30
-4018,-7742,-13684,784,300,168
-4272,-7876,-13378,736,312,230
-4304,-8014,-13334,320,222,-6
-4356,-8124,-13272,-250,-74,-344
-4318,-7964,-13302,-1012,-352,-724
-4312,-8020,-13398,-1740,-236,-1266
-4208,-7820,-13712,-2116,56,-1822
-4050,-7502,-13952,-1828,-58,-1632
-4000,-7390,-14134,-1028,-58,-1222
-3830,-7546,-14162,-22,302,-606
-3918,-7708,-14172,572,428,-318
-3646,-8142,-14390,1142,118,-142
-3588,-8406,-14674,938,978,-616
-3874,-8492,-14216,818,1794,-1750
-3584,-8106,-13936,192,2642,-2424
-3738,-7720,-13308,148,2572,-2424
-3582,-7676,-13286,208,1700,-2042
-3668,-7868,-13328,-70,1266,-1926
-3270,-8100,-13366,-356,764,-2000
-2952,-8014,-13426,-1408,212,-1566
-3830,-7682,-14070,-2344,338,-1298
-2876,-8636,-14616,-2590,2060,-2030
-2698,-8384,-14718,-2094,2794,-3978
-2836,-7512,-14284,-1936,3596,-3904
-2220,-7514,-14172,-1902,2526,-3242
-1808,-7730,-14570,-2360,1006,-1950
-1792,-8056,-14906,-3756,46,-1262
-3030,-7560,-13894,-4230,-1300,-1658
-3154,-7360,-14194,-4096,-2536,-1814
-3040,-6846,-14642,-4100,-2088,-2396
-2662,-6906,-14480,-3972,-394,-3652
-2156,-5884,-14500,-3816,1086,-3338
-1736,-5744,-13882,-1734,440,-2754
