ax,ay,az,gx,gy,gz
-3022,-15968,-2486,-246,124,64
-2930,-15898,-2510,-212,228,106
-2880,-15888,-2476,-226,240,138
-2908,-15960,-2414,-216,180,138
-2956,-15894,-2488,-148,88,100
-3028,-15872,-2546,-144,36,76
-3042,-15914,-2504,-128,42,90
-3064,-15940,-2468,-178,72,60
-3048,-15946,-2548,-184,72,58
-3070,-15862,-2642,-168,50,66
-3090,-15804,-2710,-86,56,64
-3024,-15872,-2708,-56,130,30
-2988,-15906,-2574,-36,132,4
-2900,-15884,-2528,10,30,-18
-2878,-15880,-2574,28,-36,2
-2874,-15848,-2514,34,-32,24
-2976,-15998,-2480,40,-80,50
-3020,-16018,-2514,44,-88,24
-2994,-15972,-2526,70,-112,-14
-2936,-15946,-2442,34,-146,-10
-2996,-15958,-2492,-16,-178,0
-3052,-15908,-2542,-14,-134,10
-3098,-15900,-2592,-16,-74,28
-3062,-15976,-2546,-56,-30,14
-2958,-15940,-2540,-36,-32,16
-2934,-15906,-2598,0,-96,32
-2964,-15932,-2550,46,-98,38
-3018,-15958,-2446,28,-114,48
-3058,-15992,-2458,-58,-102,30
-3046,-15952,-2490,-86,-76,14
-2962,-15936,-2498,-134,-46,-2
-2924,-15964,-2516,-166,-72,-6
-2960,-15910,-2544,-160,-152,-4
-3034,-15838,-2630,-118,-216,2
-3082,-15904,-2672,-72,-156,-12
-3028,-15920,-2554,-62,-90,-16
-2958,-15960,-2502,-84,-106,0
-2978,-15908,-2556,-148,-76,14
-2960,-15862,-2658,-118,-88,70
-3178,-15880,-2664,-68,-144,34
-3228,-15848,-2636,-34,-144,-12
-3132,-15926,-2654,-36,-116,-66
-2912,-15952,-2526,-36,-86,-80
-2892,-15928,-2600,-28,-148,-46
-2998,-15884,-2672,-12,-100,14
-3082,-15916,-2620,-58,-10,30
-3084,-15972,-2530,-110,22,16
-3046,-15978,-2560,-126,-8,-6
-2996,-15976,-2566,-198,10,-28
-2930,-16106,-2550,-290,4,-66
