ax,ay,az,gx,gy,gz
-2330,946,-16178,30,-30,16
-2340,974,-16210,30,-24,2
-2310,958,-16242,46,-32,8
-2290,946,-16132,18,-22,12
-2266,982,-16096,22,-28,4
-2326,970,-16194,34,-30,18
-2276,984,-16048,40,-24,10
-2236,1016,-16154,18,-24,4
-2276,1006,-16060,8,-24,12
-2312,960,-16158,24,-8,16
-2284,990,-16040,4,-14,14
-2276,978,-16216,20,-6,4
-2280,976,-16114,6,-16,10
-2322,978,-16254,4,-2,8
-2282,954,-16158,14,-14,8
-2282,984,-16170,-4,-20,22
-2264,996,-16076,-6,0,20
-2304,974,-16190,8,-16,16
-2290,968,-16102,10,-8,10
-2280,972,-16144,0,-10,16
-2260,972,-16108,14,-10,12
-2282,966,-16146,6,-2,22
-2268,1018,-16064,2,-6,16
-2286,992,-16102,10,4,22
-2268,992,-16060,8,-4,10
-2260,1000,-16134,12,6,26
-2250,998,-15996,14,-16,8
-2264,994,-16178,8,-22,2
-2246,996,-16074,24,-26,14
-2298,1016,-16186,26,-16,12
-2286,996,-16162,30,-16,16
-2264,1002,-16114,24,-24,6
-2290,976,-16096,18,-18,14
-2276,1004,-16118,28,-22,8
-2228,974,-16110,18,-30,10
-2288,990,-16150,22,-18,0
-2272,1018,-16130,26,-20,4
-2284,960,-16152,18,-28,8
-2276,1010,-16126,26,-14,28
-2250,988,-16094,18,-26,4
-2256,1016,-16102,22,-24,18
-2264,1014,-16120,24,-16,18
-2290,976,-16116,24,-26,6
-2250,1002,-16064,10,-24,4
-2282,1020,-16188,24,-10,-6
-2272,992,-16122,26,-20,2
-2270,994,-16198,24,-20,2
-2272,964,-16146,22,-20,12
-2268,994,-16158,24,-20,16
-2290,996,-16126,24,-26,6
