ax,ay,az,gx,gy,gz
-12656,6494,-8208,20,-80,0
-12640,6488,-8242,6,-82,-2
-12650,6476,-8184,-26,-96,-8
-12636,6506,-8206,-32,-78,4
-12630,6524,-8200,-18,-78,-10
-12644,6510,-8190,-36,-86,-22
-12674,6544,-8172,-10,-86,-26
-12648,6526,-8202,-8,-82,-8
-12664,6492,-8222,-26,-116,14
-12676,6518,-8196,-40,-110,-4
-12652,6536,-8170,-26,-108,-22
-12622,6544,-8196,-6,-112,-14
-12650,6512,-8196,-26,-124,-16
-12672,6512,-8172,-36,-134,-4
-12698,6506,-8144,-48,-106,-10
-12686,6492,-8144,-48,-108,4
-12716,6510,-8148,-22,-110,2
-12708,6506,-8126,-28,-98,-16
-12684,6520,-8124,-48,-94,-8
-12692,6522,-8124,-40,-90,0
-12674,6570,-8176,-26,-94,-4
-12652,6550,-8128,-8,-86,-8
-12692,6562,-8128,2,-88,0
-12668,6532,-8116,-28,-88,2
-12728,6562,-8120,-18,-100,20
-12732,6546,-8082,-32,-74,16
-12694,6490,-8152,10,-50,6
-12686,6522,-8166,24,-66,12
-12722,6562,-8112,-4,-94,4
-12726,6524,-8116,12,-84,0
-12692,6526,-8132,18,-88,0
-12676,6550,-8120,-4,-82,8
-12694,6560,-8118,-14,-78,8
-12674,6514,-8114,-12,-86,18
-12740,6508,-8108,-22,-78,2
-12762,6508,-8104,-18,-66,4
-12724,6510,-8034,4,-38,-6
-12726,6514,-8096,-4,-62,26
-12728,6558,-8120,-20,-88,2
-12718,6568,-8122,-8,-60,6
-12694,6562,-8086,30,-46,10
-12688,6556,-8080,10,-62,12
-12686,6568,-8048,16,-52,0
-12700,6546,-8070,12,-52,20
-12722,6560,-8104,-2,-62,18
-12748,6528,-8084,16,-42,2
-12726,6548,-8096,30,-42,4
-12720,6546,-8090,10,-42,-10
-12724,6512,-8088,8,-32,-4
-12722,6554,-8072,20,-8,2
