ax,ay,az,gx,gy,gz
-16354,-1014,2532,886,196,-234
-16180,-844,2420,798,98,-270
-16300,-534,2588,764,-88,-264
-16610,-582,2532,692,-108,-172
-16692,-822,2454,532,42,124
-16558,-1268,2540,270,240,518
-16434,-1390,2374,-28,200,670
-16224,-1670,2198,-582,210,808
-16100,-1480,2042,-1048,222,738
-16176,-924,2180,-1476,396,644
-16178,-618,2444,-1620,412,566
-16100,-630,2412,-1642,308,480
-16142,-904,2440,-1522,242,382
-16122,-1038,2372,-1408,240,266
-15974,-1338,2374,-1292,192,10
-16010,-1244,2246,-1176,-26,-168
-16120,-1010,2246,-974,-78,-178
-16330,-700,2552,-680,-36,-148
-16492,-618,2438,-456,-44,-88
-16504,-640,2156,-60,136,16
-16290,-542,2218,188,268,68
-16130,-960,2376,376,118,-4
-16226,-1068,2310,480,44,-98
-16300,-1122,2138,468,86,-116
-16286,-1010,2252,286,162,-78
-16330,-810,2438,218,156,-78
-16342,-802,2440,80,170,-40
-16244,-874,2510,-132,182,12
-16278,-904,2472,-454,70,12
-16334,-836,2438,-666,64,-2
-16294,-650,2324,-834,56,-38
-16286,-518,2404,-984,52,-36
-16262,-646,2374,-1094,-24,-58
-16310,-468,2306,-1108,-136,-80
-16282,-298,2348,-976,-180,-74
-16314,-268,2416,-730,-264,-66
-16452,-196,2324,-426,-278,-48
-16482,-218,2288,-124,-146,-14
-16408,-238,2382,178,-44,2
-16364,-378,2304,438,-22,0
-16282,-462,2320,644,10,-50
-16312,-622,2342,694,6,-106
-16348,-784,2298,668,4,-110
-16304,-794,2268,622,66,-54
-16248,-870,2342,562,58,-20
-16288,-1012,2284,436,-26,-22
-16348,-982,2234,328,-26,-14
-16368,-802,2210,296,30,6
-16314,-838,2298,254,120,-4
-16288,-864,2324,236,126,-2
