ax,ay,az,gx,gy,gz
-15618,1516,4628,796,882,816
-15446,1406,4942,514,984,868
-15446,1740,5126,238,828,900
-15530,1666,4806,6,778,994
-15472,1702,4752,-310,1130,1296
-15098,1408,4676,-684,1620,1794
-15084,1040,4766,-768,1646,2100
-15250,828,4596,-1060,1474,2292
-15532,1290,4318,-1216,1452,2668
-16242,1342,4224,-1166,1296,2578
-17256,1016,3872,-1248,1100,2148
-17358,1514,3436,-1300,1048,1440
-17180,1684,3294,-1106,1126,504
-16904,1322,3548,-906,1186,-64
-16644,756,3364,-992,718,-592
-16270,260,2996,-1206,670,-1194
-15950,-40,3368,-1754,668,-1308
-15568,-522,3574,-2514,316,-1074
-15510,-756,3582,-3194,64,-678
-15560,-406,3592,-3758,-20,-96
-15670,612,3946,-4030,60,554
-15694,1448,4432,-4246,48,1034
-16850,3226,6252,-3834,4,696
-17642,2598,5236,-4000,-668,-186
-17322,2726,3250,-4540,-82,-1042
-15652,2800,2518,-3922,1526,-944
-14156,3316,3678,-2790,2274,-432
-13374,1400,4462,-1594,1110,-98
-14494,592,4692,-1454,-166,-132
-16522,672,4100,-1934,-1076,82
-17626,1474,3518,-2248,-708,394
-16932,1910,3698,-2184,770,770
-15552,2004,4290,-1946,1176,766
-14794,2024,4646,-1802,688,562
-15262,2362,4118,-1558,-184,254
-16132,2288,3478,-1088,-176,160
-16392,1816,3336,-678,288,182
-16118,1454,3646,-422,496,198
-15922,1302,4018,-198,404,164
-16018,1340,4098,-146,120,86
-16244,1494,3952,-136,4,22
-16376,1690,3728,-94,274,-72
-16076,1680,3740,-56,596,-104
-15662,1536,3914,-26,618,-96
-15512,1512,3900,108,406,-64
-15570,1556,3904,220,170,-44
-15834,1540,3862,334,22,-8
-16012,1478,3762,382,86,4
-16010,1554,3758,438,222,-18
-15848,1592,3814,572,234,-42
