ax,ay,az,gx,gy,gz
-14580,2038,7388,-2198,-60,1126
-14554,2008,7440,-2012,-184,976
-14634,1894,7258,-1896,-330,830
-14716,1790,7162,-1896,-290,702
-14726,1734,7158,-1952,-312,618
-14740,1840,7142,-1874,-510,626
-14648,2048,7190,-1554,-674,558
-14550,2302,7196,-1146,-896,384
-14610,2438,7288,-686,-1132,156
-14870,2382,7298,-76,-1472,40
-15062,2320,6942,446,-1516,-80
-14920,2010,6798,954,-1224,-424
-14714,1832,7018,1314,-1110,-692
-14572,1752,7054,1730,-1122,-978
-14550,1670,7046,1934,-1126,-1176
-14528,1728,7026,2200,-1084,-1394
-14546,1956,7294,2546,-964,-1656
-14558,2158,7868,2688,-1046,-1572
-14370,2204,7984,2984,-2134,-1254
-14486,2200,7812,3452,-2780,-1236
-14580,2898,8414,4452,-2922,-1376
-14606,3034,8424,5120,-3286,-1330
-14888,1694,8634,4720,-3304,-778
-15632,116,8706,3956,-2742,-176
-15876,-1282,8520,3038,-1212,150
-14982,-1500,7804,1962,1056,178
-13752,-316,7134,1052,2778,184
-12332,442,7522,-94,4292,94
-11412,470,9378,-1966,3408,104
-12000,928,9332,-3162,228,-434
-15870,3472,7474,-3272,-2278,0
-18128,4874,6712,-1818,-564,428
-16546,4810,8322,-1192,2620,400
-14254,4162,9222,-328,2628,142
-12862,3436,9756,666,1156,-154
-12060,3558,9458,1858,-762,-320
-12606,4390,9214,3576,-1956,-526
-14406,5026,8650,6064,-2946,-320
-15818,4056,7948,6480,-2404,82
-17836,1904,6552,6334,-854,368
-19108,-380,5200,4640,1476,194
-18718,-2560,3424,1830,4188,60
-17370,-4820,2596,-1374,7584,-998
-15114,-4136,3482,-3624,8952,-2578
-12382,394,5494,-4824,7424,-4540
-12600,2932,5632,-6004,5336,-4012
-14624,2760,4324,-7050,4538,-3010
-15098,1518,5112,-7226,4666,-3352
-13206,2400,6868,-6662,3800,-3826
-11966,5590,7732,-5078,1268,-3166
