ax,ay,az,gx,gy,gz
8570,3400,-13044,966,-94,2856
8548,3452,-13262,1160,948,2038
8748,4086,-13456,1958,2812,1132
8928,4052,-13024,2004,3560,600
9676,3936,-12942,2214,4676,-88
10328,3960,-12316,2270,5058,-456
11028,4038,-11994,2110,4594,-106
11560,3998,-12012,2226,4162,354
12074,3620,-11710,2370,3618,696
12296,3206,-11796,2360,2662,604
12354,2990,-11904,2222,2032,188
12228,3014,-11848,2020,1394,-348
12232,2996,-11916,2026,1090,-614
11940,2960,-11610,1624,436,-884
11668,3210,-11540,1594,140,-1246
11382,3530,-11574,2196,-34,-1398
11100,3368,-11706,2616,-388,-916
11086,3082,-11780,2596,-166,-756
11226,3094,-11572,2668,-120,-1026
11316,3026,-11378,2626,-540,-1266
11436,2794,-11460,2514,-1058,-1780
11436,2858,-11332,2348,-1252,-2304
11282,3024,-11382,2142,-1570,-2582
10988,3076,-11648,2168,-1960,-2460
10866,2892,-12030,2524,-1864,-2052
10790,2398,-12356,2888,-1400,-1430
10778,2070,-12544,3084,-876,-1108
10846,1830,-12496,3204,-618,-996
10736,1690,-12374,2800,-1028,-1062
10584,1656,-12418,2326,-1280,-1310
10368,1720,-12762,1938,-1224,-1622
10428,1784,-12672,1984,-422,-1824
10454,2226,-11728,2392,214,-1704
10396,2260,-11262,2770,-188,-1246
10270,1756,-11440,3238,-386,-510
9910,1066,-11594,3362,-248,740
9702,536,-11928,3016,8,1764
9712,60,-12660,2532,646,2606
9862,-402,-12932,2180,1360,2514
10360,-452,-12748,1318,1984,1846
10732,-522,-12886,498,2450,818
11374,-170,-12682,-780,2364,-512
11556,1030,-12290,-1352,1822,-1934
11506,1714,-12580,-976,1778,-2214
11474,2240,-12522,-86,1812,-1430
11508,2134,-12692,76,1742,-440
11478,1710,-13004,538,2616,156
11456,1316,-13046,838,3978,142
11798,1294,-12728,1004,5372,336
11990,1020,-12198,338,5876,492
