ax,ay,az,gx,gy,gz
-12986,-1610,8292,170,2018,124
-12686,-1642,7462,1720,1386,192
-12558,-2768,7176,1490,1406,202
-12816,-3104,7702,1036,1220,-28
-14138,-2776,8132,912,290,-180
-14450,-3202,7876,946,8,-266
-13818,-2770,7354,494,340,-196
-13204,-1854,7584,122,422,-198
-13502,-2064,7810,56,-360,-600
-13954,-2204,7806,-60,-1330,-1522
-14976,-1848,6970,502,-2354,-2118
-17076,-1238,5862,1020,-1826,-2454
-17604,334,6128,1482,-418,-2496
-16536,64,6198,2298,382,-1160
-15398,-1508,5994,2346,1324,-364
-14822,-2862,6710,2084,2044,92
-15218,-3684,6520,962,1486,472
-15682,-3582,6358,-616,822,960
-15844,-3256,5934,-1678,552,1392
-16292,-2500,5554,-1786,1072,1248
-16674,-1716,5376,-1608,2198,1008
-16536,-1318,5500,-1252,2924,1008
-16314,-1216,5386,-1242,3310,1234
-16066,-1596,5042,-1370,3428,1668
-15898,-2010,5070,-1268,3168,1978
-15870,-2226,4786,-1270,2844,2116
-15936,-2090,4498,-1226,2638,2202
-16150,-1828,4378,-1138,2658,2426
-16428,-1998,4044,-702,2612,2064
-16628,-1524,3806,-784,2970,1864
-16750,-1458,3758,-706,3646,1538
-16606,-1544,3792,-594,4070,1432
-16094,-1574,3764,-374,4368,1326
-15724,-1380,3704,-22,4226,1106
-15604,-1250,3722,72,4074,992
-15426,-1182,3656,436,3792,994
-15214,-820,3392,662,3678,1092
-15290,-742,3516,1188,3618,960
-15318,-1118,3690,1358,3552,886
-15260,-1520,3682,1632,3160,672
-15288,-1620,3654,1492,2904,510
-15426,-1740,3758,1510,2682,368
-15594,-1812,3816,1308,2546,310
-15600,-1706,3780,914,2524,280
-15682,-2108,3708,542,2532,326
-15736,-1788,3534,334,2636,236
-15840,-1592,3302,98,2910,-62
-15922,-1796,3108,36,3256,-444
-15842,-1434,2998,-278,3370,-512
-16092,-1622,2460,-794,3216,-258
