ax,ay,az,gx,gy,gz
-634,-13146,-9820,40,-126,86
-650,-13170,-9890,-12,-268,86
-884,-13102,-9994,-36,-292,60
-1158,-12996,-9998,-124,-174,60
-1282,-12780,-10132,-252,6,42
-1278,-12442,-10318,-210,186,54
-1152,-12402,-10368,-138,394,88
-732,-12400,-10326,56,446,124
-432,-12534,-10218,284,310,114
-486,-12796,-9992,490,-26,98
-690,-13114,-9870,516,-198,86
-922,-13280,-9694,352,-352,54
-1258,-13218,-9760,192,-336,-6
-1526,-13220,-9904,-46,-110,-32
-1310,-13160,-9912,-278,244,-46
-854,-12984,-9956,-358,328,-32
-492,-12854,-10044,-330,268,6
-376,-12838,-9992,-286,116,64
-424,-12844,-9998,-242,-110,102
-648,-12726,-10138,-56,-406,104
-1106,-12580,-10258,110,-456,56
-1362,-12674,-10172,4,-186,-14
-1180,-12744,-10152,-46,-64,-34
-882,-12634,-10240,78,2,-28
-836,-12622,-10250,206,68,50
-834,-12714,-10168,262,94,88
-742,-12814,-9970,278,-26,92
-842,-12866,-9964,322,-148,84
-1058,-12918,-10044,264,-98,98
-1172,-12944,-10100,234,46,110
-1154,-12866,-10076,220,188,106
-1100,-12726,-10018,220,244,116
-1160,-12664,-10140,284,276,114
-972,-12828,-10110,336,364,88
-584,-13000,-9884,354,274,20
-442,-13190,-9674,352,-114,-32
-766,-13176,-9656,316,-334,-54
-1172,-13090,-9782,52,-272,-36
-1106,-13174,-9804,-194,-116,14
-966,-13276,-9836,-300,-88,-10
-956,-13034,-9990,-258,-96,-98
-950,-12832,-9994,-246,-60,-92
-876,-12702,-9994,-222,-136,-54
-918,-12756,-10064,-248,-138,-20
-1014,-12896,-10074,-224,-64,-2
-948,-13108,-9990,-254,60,36
-806,-12964,-9936,-264,50,24
-776,-12778,-10072,-186,-92,34
-860,-12726,-10218,-126,-204,-18
-1094,-12576,-10218,10,-176,-38
