ax,ay,az,gx,gy,gz
-16024,506,3984,-40,-124,2
-15998,476,4014,-40,-116,24
-15962,486,4006,-46,-144,24
-15954,522,3980,-24,-144,18
-15968,478,4064,8,-138,-8
-15976,522,4078,50,-152,2
-15938,550,3980,82,-160,8
-15982,466,3974,64,-118,-4
-16050,400,4024,42,-16,34
-16088,418,4140,20,66,64
-16010,390,4112,100,146,94
-15758,390,4118,186,122,98
-15562,434,4026,98,-188,16
-15744,520,3928,-60,-676,-78
-16000,596,3816,-134,-884,-142
-16194,658,3966,-128,-778,-140
-16242,562,4074,-62,-664,-82
-16184,554,3958,182,-304,-16
-16170,692,3982,316,-4,16
-16032,562,4030,500,216,76
-15898,366,4068,492,208,80
-15798,300,4130,402,138,8
-15892,262,4128,250,74,0
-15922,218,4150,116,68,18
-15886,232,4134,-6,70,18
-15902,278,4196,-158,-14,-12
-15886,488,4136,-194,-28,22
-15892,602,4088,-146,-18,84
-15912,680,3996,-76,-50,130
-15990,648,3948,22,-82,114
-16030,550,3988,82,-80,34
-16122,582,3990,154,-30,14
-16062,564,3914,206,42,52
-16122,478,3990,230,108,66
-16082,408,3974,222,152,60
-15970,298,3968,214,232,56
-15906,394,4002,152,210,42
-15880,500,4012,106,94,26
-15936,542,3912,42,52,-28
-15904,562,4002,88,52,-10
-15932,596,4090,104,18,18
-16024,656,4086,174,-50,14
-16050,578,4006,240,-20,32
-15990,540,4004,254,22,28
-15948,568,4028,222,-16,22
-15922,620,4044,224,-8,-36
-15984,608,4056,266,-6,-102
-16020,770,4052,304,-78,-102
-15998,580,3882,376,-36,-72
-15762,918,3938,284,128,52
