ax,ay,az,gx,gy,gz
2932,1768,-15674,-646,-178,-286
3024,1656,-15314,-326,692,-722
3222,1804,-14872,1034,1558,-1132
2982,2020,-14506,1506,1456,-1206
3348,2160,-14504,1362,468,-1132
3422,2108,-14620,1236,-634,-1444
3418,2282,-14886,696,-1424,-1622
3784,2358,-15110,438,-1518,-1828
3758,2148,-15266,928,-996,-2116
3554,2492,-15288,1490,-638,-2474
3496,2966,-15466,1368,-924,-2286
3614,2942,-15748,1096,-1126,-1974
3668,2972,-16116,830,-1056,-2072
3450,3272,-16256,442,-730,-2122
3518,3272,-16092,-18,-582,-1802
3504,3338,-16050,6,-552,-1794
3388,3478,-16158,-62,-524,-1614
3374,3576,-16114,-18,-206,-1388
3380,3466,-15992,188,178,-1112
3206,3576,-15946,190,308,-1012
3174,3588,-15870,68,286,-568
3276,3388,-15658,-66,220,-196
3302,3286,-15564,-304,68,-64
3398,3382,-15456,-454,-120,-130
3176,3342,-15470,-310,-286,-60
2940,3348,-15496,-298,-616,102
2790,3542,-15660,-788,-1210,570
2920,3464,-15924,-1116,-1336,968
2604,3640,-16074,-1798,-1196,980
2650,3648,-16070,-2642,-1532,1534
2828,3524,-15954,-3070,-1384,1572
2808,3918,-15734,-3034,-1360,1566
2852,3792,-15580,-2688,-1138,1758
3150,3558,-15402,-1586,-550,1380
2874,3924,-15496,-720,-228,1246
2794,3738,-15528,-186,84,1432
3090,3578,-15346,144,316,1444
2978,3518,-15192,212,-62,986
3086,3434,-15254,-44,-642,720
2984,3244,-15454,-224,-1134,332
2914,3196,-15878,50,-818,-228
2504,3542,-15910,310,-104,-206
2280,3350,-15726,446,208,180
2476,3630,-15668,210,138,86
2756,3512,-15716,96,-114,28
2656,3456,-15758,16,-70,-210
2688,3454,-15694,230,106,-354
2716,3382,-15694,1050,490,-470
2734,3382,-15714,1352,752,-566
2734,3372,-15534,1418,776,-674
