ax,ay,az,gx,gy,gz
-16014,286,3380,600,1320,464
-15374,72,3510,556,778,480
-14622,-352,3256,402,-480,290
-14186,-476,3158,322,-1292,-10
-14028,-348,3254,364,-1908,-292
-13890,-30,3236,410,-2548,-380
-13690,204,3406,558,-2824,-204
-14188,-36,4014,768,-3692,-96
-16574,-294,5236,408,-4904,-648
-19774,-1588,5882,-990,-4864,-1218
-19614,-2126,4540,-1600,-3958,-950
-18314,-1760,4054,-1628,-2012,-1018
-16668,266,4448,-1176,-6,-1432
-15418,2098,4230,-644,776,-992
-15312,1694,4178,662,952,82
-15606,512,3910,752,492,532
-15548,-376,3408,586,288,774
-15774,-856,3608,238,-102,588
-16410,-922,4244,-336,-806,208
-16478,-638,3946,-752,-830,-92
-16096,-618,3836,-856,-208,-172
-15838,-554,4094,-1096,174,-224
-15772,-108,4242,-1312,68,-224
-15832,284,4074,-1066,48,-200
-15964,498,4006,-490,164,-56
-16022,290,4080,-194,192,150
-16066,-220,4018,-56,76,256
-16006,-334,3940,-138,-112,158
-15922,-346,3914,-300,-288,86
-15864,-234,3942,-414,-368,84
-16024,-266,3832,-438,-412,102
-16222,-278,3722,-466,-116,86
-16272,-290,3870,-454,166,76
-15944,-218,3984,-462,324,62
-15744,-204,4074,-494,272,88
-15808,-214,4068,-438,-86,136
-15958,-262,3842,-382,-304,114
-16146,-266,3662,-396,-364,106
-16258,-198,3676,-276,-94,80
-16224,-340,3884,-134,154,86
-15984,-348,3904,-8,206,46
-15926,-342,3954,108,194,-16
-15920,-346,4034,256,124,-104
-15944,-370,4000,398,74,-156
-16010,-332,3968,494,-24,-228
-16038,-304,3916,560,-52,-240
-15998,-300,3836,622,12,-248
-15936,-330,3930,706,28,-212
-15852,-450,3928,650,-18,-182
-15838,-482,3920,584,-118,-212
