ax,ay,az,gx,gy,gz
-15306,-328,3068,968,-1982,-624
-15672,-1176,2226,1226,-846,-932
-15458,-2818,2552,278,-186,-502
-15242,-3954,3628,-300,-642,380
-15460,-4244,3464,-1224,-1106,580
-16034,-3032,3562,-2194,-1540,374
-16366,-2494,3108,-2338,-1632,524
-16562,-1840,2812,-2390,-1006,1068
-16144,-1772,2536,-1668,206,1138
-15248,-456,3310,-1280,282,1680
-14556,2592,2402,684,-568,3518
-16148,-1592,4392,2948,-1238,4142
-14646,-3852,3462,3166,-1584,4244
-14494,-5650,4394,3754,-2534,2388
-16006,-4712,4618,3130,-3792,922
-19138,-3012,2788,2862,-2380,-92
-20240,-1312,3580,2570,-1128,-1250
-18180,820,4168,2582,2534,-1266
-15546,342,5152,3174,3546,-1216
-12674,-66,5824,3128,1612,-1284
-12730,592,5784,3038,-1584,-1026
-14416,1990,4540,3448,-3428,-690
-16758,2360,3936,3920,-3236,-206
-17684,1678,3734,3736,-2038,-2
-17224,1324,4226,3168,-850,124
-16570,1960,4714,2832,-806,596
-16464,2154,4894,2552,-1394,1206
-16472,2910,4378,2572,-1414,2068
-16160,3026,4592,2876,-1044,2746
-15718,2528,4288,3008,-1050,3050
-15644,1926,3828,2682,-1028,2890
-15574,1384,4026,2080,-1014,2344
-15088,1248,3782,1464,-1122,1622
-14798,1126,3234,976,-990,696
-15094,-22,3304,664,98,-954
-14916,-774,3138,64,850,-2754
-14400,-1268,2822,-1296,2156,-5532
-14760,-736,3488,-1968,2712,-7156
-17266,-832,7858,-2350,4036,-6488
-20476,-1010,8744,-1732,1258,-3482
-19754,4868,5766,396,-3798,974
-16590,3314,3316,3958,-688,3136
-13504,1046,4142,3258,1064,2386
-11400,-1220,5312,2098,152,464
-13324,-1548,5346,678,-1546,-1026
-17822,-1966,3082,-252,-1522,-1412
-19922,112,3540,-1112,992,-410
-17046,648,3312,-1038,2382,-20
-13646,644,6732,-96,1320,-42
-13550,730,7102,776,-2020,-102
