ax,ay,az,gx,gy,gz
-14998,-332,3742,-550,-1438,80
-14940,-798,3860,-658,-1578,680
-15132,-1612,4158,-624,-1830,1304
-15202,-2564,4962,-754,-2862,1698
-15312,-2860,5064,-944,-3548,1980
-15890,-2852,4724,-1490,-4096,2012
-16372,-2234,4410,-1544,-3566,2154
-16740,-2416,4092,-1598,-2466,1796
-17052,-2146,4046,-1524,-1884,1812
-17304,-2006,3512,-958,-1304,1616
-17552,-1108,3382,-64,350,1058
-17652,414,4530,900,1456,410
-17458,-8,5002,1122,1538,406
-16774,-2512,4926,680,1664,-162
-16028,-2110,5164,-558,1064,-558
-15382,-1864,4374,-584,468,-686
-15150,-814,4202,-402,360,-540
-15172,-304,4256,432,770,-604
-15816,-826,4070,1102,1360,-390
-16802,-1366,3942,1366,2538,-450
-16400,-1440,4028,818,3788,-254
-15410,-1398,4828,594,4290,-400
-14392,-828,5598,716,3058,-816
-14426,-296,5688,766,1456,-1146
-14846,630,5000,1148,72,-1538
-15164,1778,4218,1462,-484,-1200
-15664,1872,4420,2178,-272,-518
-15738,2482,5056,2648,-388,-64
-16146,2744,5338,3206,-616,126
-16780,3350,5424,3774,-1074,342
-17040,3228,5564,4310,-1290,888
-16588,2966,5034,4600,-1500,1672
-16062,2772,4286,4488,-1830,1946
-15900,2366,3512,4044,-1690,1958
-16000,1644,3136,3606,-990,1784
-15656,912,2846,3076,8,1106
-15512,414,2866,1450,1308,32
-15096,-1290,2340,-322,2120,-1212
-16222,-2188,4002,-2074,3004,-1980
-17208,-2214,4602,-2732,2452,-1680
-17456,-232,3952,-3110,1130,-234
-16054,3800,4942,-1088,1128,792
-14184,3826,6794,676,626,1146
-12622,1964,6394,824,-1764,410
-14108,1492,5096,112,-3954,-164
-17716,1594,2072,718,-3954,-34
-19594,1186,1022,1324,-44,-330
-19214,998,2128,1548,3460,-76
-16834,10,3074,1098,5114,-76
-14978,-504,4946,1070,4030,-438
