ax,ay,az,gx,gy,gz
-15664,366,5184,386,-38,78
-15654,12,5156,322,-28,108
-15660,-274,5022,108,-34,142
-15778,-476,5018,-254,-14,168
-15828,-392,4978,-546,2,168
-15762,-72,4910,-792,120,148
-15640,338,5122,-932,256,132
-15514,742,5362,-802,182,84
-15566,1168,5338,-418,-14,-54
-15702,1338,5212,-28,-30,-98
-15656,1242,5204,534,18,-38
-15508,832,5272,826,-38,6
-15534,270,5228,928,-178,0
-15680,-168,5076,784,-262,-30
-15804,-344,4998,498,-212,-34
-15946,-448,4984,-6,-12,14
-15804,-272,5094,-380,184,36
-15614,10,5230,-658,268,34
-15552,630,5268,-690,204,6
-15602,1142,5250,-496,124,-36
-15658,1432,5236,-90,102,-68
-15588,1334,5264,294,58,-26
-15410,760,5220,594,-140,36
-15514,238,5072,680,-334,44
-15750,-156,4922,618,-402,32
-15986,-360,4854,358,-264,-16
-15932,-324,4916,48,20,-42
-15692,-118,5096,-262,174,-68
-15642,152,5160,-422,152,-62
-15670,458,5118,-448,106,2
-15748,596,5086,-336,92,94
-15696,596,5048,-216,44,176
-15608,468,5090,-48,-48,164
-15606,380,5098,36,-102,92
-15668,346,5086,124,8,-44
-15700,350,5116,184,34,-112
-15744,316,5124,190,50,-132
-15690,336,5126,228,12,-100
-15632,422,5196,274,-2,-44
-15604,428,5164,314,-86,-22
-15668,420,5086,328,-96,-22
-15702,336,5060,290,-24,-42
-15724,216,5078,248,8,-42
-15668,246,5122,180,-4,-60
-15670,262,5082,126,-56,-42
-15728,286,5034,68,-62,-8
-15686,298,5042,-2,-2,32
-15670,300,5094,-56,36,58
-15630,286,5092,-92,6,44
-15636,268,5066,-112,-22,44
