ax,ay,az,gx,gy,gz
-2246,1022,-16142,24,-18,14
-2260,998,-16120,26,-22,16
-2242,988,-16056,14,-30,14
-2286,978,-16208,18,-28,2
-2270,976,-16112,20,-28,14
-2262,986,-16180,24,-28,10
-2276,1008,-16154,22,-30,12
-2250,992,-16114,22,-32,6
-2246,1014,-16018,12,-16,6
-2258,1002,-16082,14,-26,2
-2290,996,-16258,22,-32,14
-2256,958,-16064,8,-26,10
-2264,1012,-16170,14,-24,4
-2228,1004,-16054,8,-18,4
-2274,992,-16136,28,-20,0
-2272,998,-16136,20,-20,6
-2252,1012,-16138,20,-14,14
-2268,1018,-16184,22,-20,4
-2266,952,-16082,14,-16,4
-2288,982,-16184,28,-20,16
-2272,1016,-16114,18,-30,12
-2258,986,-16148,28,-16,10
-2272,996,-16140,36,-16,14
-2244,994,-16124,26,-12,2
-2242,1012,-16146,18,-16,12
-2274,986,-16136,14,-28,6
-2246,984,-16120,24,-30,20
-2234,992,-16110,26,-32,10
-2264,996,-16146,32,-28,10
-2284,1002,-16128,34,-20,16
-2254,1010,-16126,18,-22,-6
-2252,1028,-16158,26,-28,8
-2266,1002,-16130,28,-26,14
-2264,992,-16182,20,-18,8
-2238,982,-16124,10,-12,18
-2246,970,-16124,22,-28,10
-2262,994,-16124,18,-22,10
-2260,984,-16128,20,-24,6
-2270,1022,-16126,24,-26,4
-2244,1014,-16140,24,-24,10
-2254,1012,-16166,18,-24,12
-2272,982,-16128,24,-26,18
-2274,972,-16148,12,-16,14
-2282,956,-16136,20,-32,6
-2284,990,-16126,26,-20,16
-2250,990,-16132,20,-30,10
-2276,988,-16106,30,-22,14
-2276,1006,-16134,22,-28,-4
-2272,1006,-16146,22,-24,6
-2258,982,-16136,26,-26,8
