ax,ay,az,gx,gy,gz
-15680,-772,5290,28,-148,-34
-15678,-696,5250,36,-78,46
-15628,-642,5312,56,8,54
-15616,-646,5368,124,20,50
-15644,-702,5420,172,76,0
-15690,-696,5418,188,92,0
-15568,-894,5188,76,28,70
-15442,-1006,5128,-8,2,114
-15434,-978,5256,-48,-2,116
-15500,-824,5376,-128,-142,66
-15614,-774,5260,-228,-222,44
-15700,-716,5156,-264,-186,6
-15764,-682,5208,-196,-98,-16
-15720,-554,5276,-120,-54,24
-15654,-510,5286,18,10,44
-15620,-572,5286,126,64,40
-15536,-668,5268,272,84,-12
-15508,-668,5274,320,26,-32
-15540,-616,5306,356,-36,-94
-15590,-680,5338,398,-84,-126
-15620,-728,5338,404,-104,-142
-15668,-706,5330,388,-62,-124
-15640,-692,5358,370,-24,-84
-15602,-672,5368,308,38,-46
-15586,-684,5364,326,72,-54
-15528,-686,5380,370,50,-68
-15534,-612,5366,374,2,-84
-15556,-608,5330,356,-56,-60
-15536,-790,5310,310,-112,-28
-15574,-936,5284,230,-138,-20
-15614,-964,5332,88,-126,-6
-15684,-1008,5344,-66,-114,4
-15714,-920,5282,-216,-32,34
-15646,-794,5236,-330,80,94
-15572,-730,5332,-372,150,112
-15496,-714,5354,-366,68,86
-15544,-642,5344,-292,-12,62
-15640,-536,5334,-238,-64,72
-15650,-654,5306,-172,-32,86
-15636,-750,5300,-94,-18,52
-15524,-712,5310,18,-4,4
-15548,-668,5336,20,-40,2
-15624,-842,5280,-34,-72,10
-15684,-946,5222,-112,-46,-2
-15678,-926,5296,-168,88,48
-15676,-848,5430,-204,128,88
-15676,-812,5418,-256,90,116
-15568,-824,5242,-358,56,130
-15528,-768,5286,-406,96,114
-15450,-704,5324,-440,32,42
