ax,ay,az,gx,gy,gz
-10764,-11530,-4540,42,16,8
-10588,-11638,-4370,-6,26,40
-10660,-11744,-4450,20,-104,28
-10732,-11724,-4590,-6,-96,10
-10738,-11578,-4502,-10,66,22
-10682,-11550,-4434,-26,88,30
-10602,-11690,-4458,-24,-16,20
-10696,-11670,-4520,-28,-30,34
-10808,-11554,-4498,-20,80,52
-10624,-11574,-4354,14,-2,50
-10662,-11574,-4422,28,-110,18
-10868,-11562,-4512,46,-24,-32
-10722,-11596,-4526,90,62,-36
-10458,-11626,-4424,96,-52,0
-10602,-11682,-4406,94,-114,2
-10756,-11610,-4386,104,-98,2
-10810,-11634,-4522,112,-74,-10
-10814,-11616,-4480,50,42,-2
-10712,-11568,-4540,34,8,-28
-10668,-11622,-4448,62,24,-10
-10652,-11660,-4408,64,6,34
-10688,-11708,-4476,68,16,42
-10696,-11714,-4458,-2,30,18
-10672,-11614,-4462,6,12,28
-10686,-11612,-4478,44,36,14
-10756,-11640,-4438,-20,102,-20
-10666,-11622,-4448,-68,66,24
-10578,-11658,-4374,-52,20,48
-10684,-11618,-4392,-54,-22,0
-10720,-11528,-4514,-50,-28,-12
-10580,-11532,-4450,-10,-14,24
-10656,-11618,-4378,-8,-38,38
-10734,-11614,-4500,38,-34,6
-10662,-11584,-4534,48,20,-8
-10690,-11638,-4518,32,32,14
-10692,-11726,-4580,24,24,48
-10594,-11768,-4508,16,10,24
-10666,-11592,-4402,22,-48,-2
-10790,-11506,-4488,-18,-46,20
-10636,-11528,-4496,12,0,14
-10686,-11534,-4416,26,-6,-34
-10764,-11568,-4496,18,-16,-6
-10694,-11648,-4478,74,6,-2
-10550,-11574,-4372,100,-28,-6
-10588,-11514,-4446,102,-122,2
-10650,-11544,-4456,142,-158,-4
-10728,-11684,-4564,156,-102,-64
-10728,-11742,-4496,146,-60,-20
-10630,-11770,-4304,122,-56,8
-10750,-11696,-4504,64,-112,-18
