ax,ay,az,gx,gy,gz
-15942,558,3990,540,48,-58
-15996,566,3988,512,-16,-96
-16088,508,3914,436,-120,-154
-16068,494,3840,384,-104,-184
-15972,464,3886,354,-50,-188
-15806,392,3936,304,-20,-130
-15864,318,3988,198,-178,-88
-16020,196,3916,42,-194,-60
-16072,304,3930,-110,-48,-32
-16064,296,4054,-198,42,-90
-16042,394,4162,-260,-34,-54
-16010,468,4154,-304,-46,-44
-15944,492,4104,-276,-56,-40
-15872,530,4124,-146,-42,4
-15882,474,4162,-90,-10,0
-16006,492,4154,-54,-20,46
-16178,370,4120,-90,-6,66
-16196,208,4040,-214,268,76
-16140,80,4110,-398,386,42
-15866,284,4082,-504,570,20
-15816,430,4192,-494,446,120
-15978,506,4062,-478,340,120
-15938,472,3930,-474,364,114
-15880,396,4018,-412,314,88
-15848,342,4052,-424,174,34
-15930,400,3970,-398,66,-8
-16116,510,3910,-324,64,-20
-16146,678,3954,-266,128,8
-16020,396,3898,-120,234,44
-15852,472,3982,-84,270,-4
-15878,414,4050,-70,186,-14
-15964,264,3980,-48,48,18
-15974,404,3942,-64,44,-10
-15910,404,3934,-102,48,-36
-15862,382,3918,-102,-34,-20
-15964,422,3924,-100,-138,4
-16042,430,3862,-106,-134,18
-16024,412,3904,-120,-54,-6
-15886,380,3902,-158,-60,14
-15864,220,3856,-154,-146,16
-16064,342,3894,-240,-274,64
-16104,356,3704,-254,-164,70
-16042,306,3756,-270,4,48
-15978,318,3962,-332,-38,20
-15968,294,3898,-378,-148,46
-16082,212,3702,-362,-140,64
-16030,348,3784,-360,0,100
-15940,348,3944,-326,68,72
-15922,358,3978,-262,-46,22
-16008,444,3946,-226,-96,30
