ax,ay,az,gx,gy,gz
-16244,590,3210,-1664,344,242
-16326,442,3160,-1654,382,270
-16294,378,3174,-1652,448,274
-16214,354,3258,-1682,456,254
-16110,416,3294,-1698,420,260
-16062,408,3220,-1698,406,304
-15952,358,3270,-1666,382,300
-15966,384,3362,-1618,262,226
-16186,500,3298,-1560,26,204
-16390,568,3156,-1504,-20,210
-16358,572,3080,-1416,128,228
-16170,530,3166,-1300,274,198
-16018,550,3284,-1168,254,178
-15970,556,3244,-1064,32,144
-16104,528,3154,-962,-50,106
-16268,598,3182,-830,-58,62
-16380,580,3216,-698,-64,64
-16392,576,3230,-552,-86,76
-16332,580,3254,-444,-58,90
-16226,482,3216,-314,-20,110
-16006,404,3254,-196,30,116
-15924,334,3408,-78,-8,132
-15928,470,3368,30,-204,92
-16026,648,3316,142,-346,84
-16226,628,3272,360,-348,42
-16278,610,3250,514,-268,-34
-16242,668,3258,656,-94,-154
-16172,678,3386,830,20,-140
-16200,696,3398,964,2,-104
-16062,632,3192,1120,106,-164
-15894,656,3134,1208,264,-360
-15906,538,3236,1228,318,-582
-16184,572,3588,1202,-20,-680
-16410,696,3504,1300,-328,-640
-16462,824,3330,1630,-114,-494
-16254,664,3518,1892,174,-344
-15850,326,3936,2046,170,-198
-15664,178,3950,2036,-98,-170
-15700,96,3716,1896,-336,-228
-16086,88,3502,1648,-434,-274
-16398,154,3414,1480,-412,-244
-16448,216,3336,1324,-164,-206
-16180,194,3590,1236,46,-160
-15882,352,3952,1132,130,-212
-15754,256,4142,1112,-26,-228
-15666,124,4156,1084,-230,-328
-15646,206,4160,1072,-406,-412
-15712,310,4078,1236,-542,-610
-15788,592,3976,1582,-524,-868
-15952,628,4098,1868,-420,-958
