ax,ay,az,gx,gy,gz
-13542,15778,2112,1064,9566,-11186
-16128,15802,5892,-3706,10792,188
-11488,8826,8564,-2016,8508,3068
-11520,10426,3834,1578,11074,2888
-13320,11836,2138,3568,13460,3844
-13676,8166,4438,8216,15238,1504
-14238,9182,3180,10132,13876,1710
-13630,11010,2008,9692,12904,4798
-10272,8204,-200,11952,12280,4992
-10624,10982,-1070,12994,12966,50
-14920,18630,5392,9354,6988,-3450
-14126,15514,3472,-1924,-4310,3066
-13370,10252,-2028,-7690,-4142,9634
-11240,12036,-1562,-13326,-1904,18148
-10902,9684,-2024,-18982,-3466,19604
-10716,11056,-886,-14470,-4840,18834
-10778,10556,2628,-16840,-5964,17490
-10196,8986,2854,-24868,-9202,13954
-10658,10350,-1208,-23276,-10146,14736
-8618,9650,-124,-27046,-9288,16294
-6292,7136,3024,-32766,-6828,13372
-6540,8458,8688,-32766,-2286,6272
-5230,8988,9250,-31866,2494,-5144
-5522,16204,7936,-32766,8266,-3994
-4596,10248,12984,-32766,11418,-3210
-4616,6604,20342,-32766,12312,-5732
-7240,2238,17988,-15908,9788,-9704
-11376,6916,17370,-5316,-230,-6868
-7420,8410,15146,-144,-5440,-4690
-4822,5364,11426,-1232,-3312,-3166
-7462,7702,12190,-2420,-1904,-1520
-7464,6272,12532,-4332,-4134,-894
-7152,8660,13764,-8716,-3190,4918
-8068,5204,17044,-4986,-992,8162
-7874,3056,14926,-384,2558,4546
-5392,3314,13686,-6280,6392,-844
-9030,3418,15056,-8134,4454,-4650
-9246,4850,15258,-9328,2312,-4234
-10342,3420,11894,-10016,2660,-4942
-8672,3150,13496,-10028,5410,-3702
-8840,978,17124,-8286,3570,-4106
-8352,3182,14248,-4002,502,-3554
-8300,2668,15158,-1328,-1766,-2252
-7994,3098,11970,-2152,-1790,-1468
-8118,2282,13830,-1034,-530,-888
-8936,1670,14210,-2336,-2078,-940
-8758,1528,13594,-3302,-1234,-640
-8740,2312,14752,-1686,-1608,-138
-8210,2682,14472,-234,1922,530
-8820,288,13696,1392,2068,1084
