ax,ay,az,gx,gy,gz
-3770,-14520,-6626,2,98,-4
-3708,-14484,-6576,30,100,-14
-3614,-14484,-6566,40,54,4
-3572,-14602,-6494,52,8,-10
-3614,-14564,-6486,36,-8,-18
-3672,-14544,-6522,6,-16,8
-3674,-14542,-6580,6,6,26
-3698,-14516,-6544,-24,-10,28
-3710,-14536,-6558,-58,-48,-4
-3694,-14544,-6578,-66,-76,0
-3690,-14476,-6576,-74,-90,10
-3698,-14488,-6604,-90,-72,8
-3702,-14562,-6556,-106,-60,-8
-3642,-14508,-6514,-126,-58,-38
-3658,-14524,-6578,-166,-100,-26
-3690,-14554,-6556,-150,-88,-6
-3738,-14554,-6574,-168,-76,-14
-3698,-14476,-6642,-214,-74,-6
-3698,-14438,-6652,-180,-46,8
-3620,-14472,-6626,-176,-46,10
-3632,-14470,-6612,-180,-86,-38
-3684,-14400,-6682,-164,-170,-66
-3764,-14416,-6752,-138,-148,-56
-3770,-14496,-6744,-128,-62,-50
-3668,-14516,-6610,-132,-36,-46
-3638,-14448,-6658,-126,-74,-36
-3672,-14420,-6658,-100,-100,-28
-3770,-14418,-6744,-84,-116,-16
-3804,-14396,-6816,0,-78,-38
-3650,-14404,-6748,4,-20,-50
-3568,-14440,-6640,40,-76,-72
-3588,-14410,-6692,64,-162,-74
-3718,-14492,-6732,84,-128,-64
-3744,-14426,-6792,204,36,-14
-3680,-14428,-6730,254,90,-6
-3604,-14368,-6700,302,98,38
-3642,-14454,-6634,326,22,28
-3714,-14448,-6656,310,-72,18
-3804,-14404,-6738,282,-54,30
-3726,-14502,-6700,300,20,4
-3638,-14506,-6562,280,-2,-26
-3648,-14544,-6556,242,-90,-72
-3688,-14624,-6570,244,-102,-64
-3664,-14668,-6454,220,-62,-52
-3616,-14644,-6448,212,-84,-58
-3658,-14580,-6492,144,-116,-48
-3620,-14558,-6526,96,-102,-32
-3624,-14586,-6522,96,-80,-14
-3628,-14576,-6534,112,-126,4
-3684,-14524,-6552,112,-130,-10
