ax,ay,az,gx,gy,gz
-2530,-16064,-2464,34,-22,16
-2534,-16072,-2520,42,-50,0
-2584,-16058,-2552,64,-14,2
-2566,-16036,-2466,32,18,8
-2570,-16024,-2474,-22,-10,0
-2586,-15980,-2552,-28,-28,12
-2590,-15970,-2572,2,-16,26
-2566,-16022,-2550,18,-10,12
-2536,-16000,-2528,2,-8,0
-2470,-15976,-2596,46,-4,4
-2504,-16020,-2584,78,-26,16
-2592,-16010,-2534,102,-10,8
-2560,-15966,-2530,106,-6,22
-2556,-15948,-2512,76,-12,14
-2566,-16020,-2568,82,-34,10
-2552,-16030,-2520,116,-4,-2
-2580,-16024,-2494,102,-18,8
-2576,-16036,-2498,66,-54,-16
-2510,-16060,-2506,70,-28,-12
-2544,-16022,-2472,44,-18,-2
-2538,-16004,-2506,52,-6,8
-2520,-16000,-2446,26,6,26
-2508,-16012,-2504,42,-32,28
-2588,-15998,-2510,30,-30,32
-2634,-15970,-2542,50,-28,22
-2588,-15996,-2580,54,-8,24
-2584,-16080,-2566,62,26,2
-2484,-16132,-2390,66,6,0
-2482,-16118,-2412,44,-58,-10
-2578,-15990,-2508,26,0,2
-2564,-15948,-2506,12,58,14
-2516,-15950,-2476,0,-10,38
-2524,-16026,-2462,-10,-14,32
-2562,-16048,-2456,6,-16,52
-2570,-16096,-2404,-30,-56,12
-2556,-16126,-2444,-46,-118,2
-2616,-16044,-2530,-78,-92,-24
-2600,-15952,-2588,-68,20,-4
-2540,-15946,-2558,-44,80,44
-2450,-15966,-2536,-8,54,40
-2470,-15990,-2500,32,8,36
-2566,-15996,-2550,64,-62,18
-2620,-15976,-2554,80,-58,-8
-2554,-16080,-2456,78,-56,-16
-2534,-16054,-2478,68,-46,2
-2608,-15992,-2576,84,20,38
-2668,-15972,-2566,122,72,16
-2630,-15980,-2528,132,100,6
-2478,-16008,-2450,104,42,6
-2486,-16058,-2456,120,-50,-8
