ax,ay,az,gx,gy,gz
-7486,-1414,-4102,-9242,24454,-4536
-9596,-434,-7744,-22878,32767,12936
-7454,-5628,-8800,-29194,32767,27932
-8136,-14262,-14938,-25266,32767,31836
-7788,-17608,-16618,-13686,32767,23590
-4752,-14412,-17422,-4980,32767,15242
-3542,-6486,-23530,-8486,29488,18416
-656,-2600,-20988,-16538,24686,30612
6558,-4766,-21134,-22472,17438,32767
7782,-1300,-21086,-21574,16618,32767
7166,626,-21438,-18176,16194,22088
3842,-1096,-21130,-13778,10950,9802
2736,-1734,-19622,-9554,1962,4910
5920,-4254,-19222,-3556,-7730,-3024
5730,-4132,-19582,530,-8552,-9886
3542,-2422,-19104,2892,-5548,-11866
3362,-1044,-18036,3070,-5184,-9830
2954,466,-17844,-582,-4628,-7042
3130,182,-16386,-4656,-1118,-3732
3716,-536,-14798,-4160,1232,-2456
4096,-710,-13466,-300,2352,-1910
3318,-422,-10590,3730,1232,-3480
-636,-1388,-8166,572,-22492,-5452
-718,1890,-6838,-1044,-27974,-6812
-482,2166,-14074,1262,-32766,-1996
-876,428,-6130,-8878,-11618,-4784
-4672,3888,-14596,-4556,-2580,80
-4684,2784,-17574,8904,5410,-1106
-3102,2056,-17460,11314,9958,-940
1288,-1656,-10972,-2546,4516,1824
554,-942,-9690,56,-4698,-900
-3138,1010,-17934,-4356,-2932,226
-2960,1754,-16420,-396,-280,90
-2808,1734,-16114,2444,2192,-152
-800,-962,-15090,938,1934,-46
-2648,814,-16964,-1088,-2244,122
-2530,1632,-16032,358,256,-24
-1828,794,-15668,212,258,-2
-2282,1056,-16310,-286,-424,42
-2186,1048,-16374,190,130,0
-2110,992,-16140,20,-78,18
-2264,1096,-16334,12,-60,6
-2176,1068,-16158,66,-6,0
-2128,1078,-15998,28,-36,12
-2158,1084,-16014,38,-22,-2
-2158,1072,-16114,32,-28,2
-2178,1060,-16030,16,-28,12
-2210,1080,-16166,26,-44,12
-2194,1054,-16164,14,-20,-2
-2198,1074,-16224,30,-24,2
