ax,ay,az,gx,gy,gz
-15832,342,4840,464,-168,-30
-15770,334,4982,450,-134,-26
-15712,324,5006,462,-134,-18
-15748,192,4956,368,-82,-88
-15688,168,4998,270,-16,-158
-15720,348,5098,264,-108,-154
-15816,526,4842,304,-156,-96
-15928,472,4708,294,44,-20
-15766,382,4952,284,284,62
-15652,320,5136,302,146,74
-15744,204,4948,224,-38,58
-15934,164,4660,170,-36,26
-15846,168,4694,100,196,72
-15586,270,5028,120,228,114
-15678,190,5148,186,30,94
-15740,678,5096,44,-102,-6
-15468,1184,5318,-54,-312,-146
-15258,1360,5962,868,-740,-200
-15308,1580,6302,1834,-1254,-226
-15654,2598,5880,2464,-2136,-178
-17282,5372,5144,1188,-1882,1562
-17764,1088,2730,66,-960,2554
-17748,-6586,1274,-3838,3026,1588
-16326,-5742,2912,-5582,6336,-476
-14410,452,7656,-5610,6660,-616
-11592,2118,10120,-4910,2310,-922
-12622,3164,8300,-4446,-2822,-1362
-16336,3688,3420,-3428,-5626,-534
-19462,540,1778,-1514,-2858,-690
-18516,-1066,3490,-1178,1814,-424
-16284,-1608,4390,-932,2752,-634
-14688,-1206,4838,-800,2646,-620
-13430,958,4732,0,1658,-454
-13422,1618,4266,786,602,618
-14246,64,3882,2094,-366,930
-14652,-812,4056,2512,-928,1270
-15140,-1610,3490,2476,-1198,1812
-16378,-2142,3780,2318,-818,2528
-18150,-2730,5208,2006,-556,2890
-19530,-1700,6262,1234,-716,1682
-18932,-1286,5362,580,-1042,-698
-16666,1082,3998,-770,786,-1410
-14902,1974,3962,-282,2014,-912
-13452,2650,5798,948,1810,838
-13160,1830,6656,1848,1068,1936
-13852,-108,6562,1500,202,2018
-15330,-1136,4336,170,-966,64
-16530,272,2614,-1142,-556,-1874
-16218,2372,1852,-2548,1306,-3708
-15488,2088,3080,-2134,2494,-4982
