ax,ay,az,gx,gy,gz
-3850,4594,-15218,76,78,-12
-3788,4514,-15232,64,28,0
-3798,4510,-15236,46,0,6
-3794,4500,-15256,52,28,32
-3680,4530,-15280,40,24,28
-3772,4542,-15246,-26,-24,12
-3876,4554,-15246,-32,0,6
-3874,4584,-15272,-28,86,4
-3740,4630,-15214,6,96,-26
-3664,4644,-15186,66,16,-10
-3704,4646,-15228,98,-32,-6
-3782,4584,-15244,74,-20,26
-3752,4590,-15232,18,4,14
-3742,4580,-15244,28,-20,10
-3794,4600,-15318,114,-46,8
-3768,4546,-15228,96,28,24
-3762,4512,-15166,68,32,2
-3860,4522,-15274,60,-12,-16
-3902,4556,-15346,38,56,18
-3690,4514,-15208,56,136,44
-3562,4516,-15214,0,116,8
-3702,4522,-15246,-12,80,4
-3862,4580,-15288,-26,132,2
-3834,4562,-15282,-66,190,16
-3602,4490,-15260,-14,154,20
-3512,4470,-15214,-4,52,8
-3694,4580,-15190,0,-52,-28
-3900,4622,-15216,0,-10,-26
-3836,4678,-15278,12,106,0
-3628,4670,-15290,58,118,46
-3520,4630,-15302,74,22,40
-3646,4616,-15222,18,-58,22
-3760,4540,-15206,-30,-16,-18
-3760,4498,-15260,28,-10,-10
-3660,4508,-15330,38,8,-4
-3592,4528,-15272,66,46,8
-3602,4504,-15208,14,-32,-32
-3698,4506,-15290,-28,-50,-44
-3766,4592,-15266,-16,-24,-66
-3820,4630,-15252,40,-10,-26
-3762,4616,-15248,-32,44,44
-3606,4546,-15298,-70,74,86
-3448,4438,-15260,-54,-6,96
-3590,4484,-15306,22,-220,-8
-3892,4632,-15336,-28,-214,-54
-3966,4734,-15234,-30,42,20
-3648,4692,-15190,66,144,52
-3432,4580,-15178,74,34,-2
-3598,4586,-15240,50,-124,-60
-3754,4606,-15290,82,-104,-80
