ax,ay,az,gx,gy,gz
4962,742,15780,104,-90,234
4970,502,15652,-176,-38,150
4992,272,15618,-188,-48,24
5070,334,15564,154,-102,244
4976,296,15526,122,98,354
4792,236,15602,-12,224,68
4764,388,15706,88,-8,78
4892,376,15676,-12,216,66
4856,326,15802,-26,524,88
4694,294,15918,130,432,86
4834,456,15948,160,52,-6
4990,418,15894,104,20,-16
5044,428,15806,-110,368,-22
4828,288,15902,-60,406,26
4766,314,15858,114,178,36
4730,370,15884,248,188,-2
4712,532,15926,188,162,-24
4746,508,15932,-22,-42,-58
4794,514,15852,8,-84,6
4794,394,15820,-86,-20,8
4834,534,15816,-170,6,-192
4760,420,15830,-108,-54,78
4774,410,15770,-120,-146,128
4812,326,15688,-344,-82,34
4834,202,15660,-184,-116,12
4842,270,15658,82,-50,98
4834,508,15654,278,-52,158
4906,654,15710,6,206,176
4822,416,15756,-146,464,174
4846,290,15852,-206,228,70
4876,156,15830,-56,252,72
4788,318,15888,278,26,258
4770,390,15802,354,20,286
4692,480,15840,78,152,130
4644,480,15912,-22,134,196
4722,308,15820,114,-114,270
4890,276,15720,6,18,180
4796,242,15752,-4,222,66
4660,176,15848,198,52,78
4830,360,15834,198,-30,0
4824,486,15852,72,264,32
4724,408,15990,52,256,158
4712,336,15964,-38,24,124
4730,352,15832,56,-14,116
4770,180,15796,-68,138,72
4766,136,15880,-6,188,-22
4632,164,15974,290,132,108
4676,310,15960,240,-134,66
4700,334,15918,4,74,-114
4630,354,15942,38,32,-136
