ax,ay,az,gx,gy,gz
-17510,-1448,5086,-3990,4322,-800
-14618,-2768,3212,-3580,3676,-2370
-15774,2190,6828,-2760,-2862,-1180
-16372,1504,5380,-1292,-6808,1508
-15112,520,4254,-648,-4888,1142
-14018,2040,6588,662,-5238,-64
-15180,3332,6512,1974,-8378,258
-17012,690,4308,2454,-8698,666
-18250,-1838,2242,1870,-6074,452
-17908,-3734,1222,412,-1344,258
-16928,-4380,2198,-1130,1478,246
-15534,-4914,3014,-3398,1902,-64
-15292,-4134,3706,-4964,1026,-386
-15590,-2298,3696,-6176,300,-554
-15788,-234,3652,-6522,288,-322
-16356,2640,4076,-5586,510,608
-15916,1134,3328,-3082,1136,568
-15510,774,5316,-778,1296,-194
-14982,2598,8492,2534,504,-1534
-16280,4564,8348,3616,-3052,-248
-16960,-1104,3054,2982,-5208,1278
-17894,-4352,-620,176,-2846,1660
-17852,-5938,-1458,-1306,314,1248
-16002,-2684,1972,-2172,4004,246
-14362,-1414,5588,-2428,4580,120
-14134,-1284,8226,-2872,616,60
-14890,-974,6118,-3268,-2222,-430
-17268,684,3912,-3198,-2450,-324
-18328,900,1762,-2368,-636,674
-16940,2,2048,-1686,1608,578
-15148,-10,3724,-1254,1900,162
-14894,176,3940,-1026,604,208
-15692,-78,3348,-1154,-924,354
-16780,-1000,2876,-1452,-1292,104
-17282,-766,2844,-1870,-544,-294
-16860,-216,3902,-1930,666,-748
-16866,-492,4402,-2242,74,-1276
-16028,398,2562,-2596,-60,-624
-14724,-18,1766,-1938,1694,1138
-15390,-1950,4080,-1786,2200,2410
-16702,-1436,4388,-2112,874,1918
-16770,-48,3208,-1834,296,1298
-16604,-330,2916,-1708,814,580
-16416,-1036,3686,-1610,1296,282
-16074,-844,4842,-1378,1290,236
-15340,-610,4850,-1158,1178,252
-14540,984,4520,-216,1048,326
-15012,-1796,4180,696,184,678
-15520,-904,4202,382,-558,-10
-16076,356,3464,700,-680,-154
